,affiliation
300,Education Innovation Research Institute of Guangdong
301,Eindhoven University of Technology
302,Electrical Engineering & Computer Science Department
303,"Electrical and Computer Engineering, Duke University"
304,Electronics and Telecommunications Research Institute
305,EleutherAI
306,Elice
307,Emory University
308,European Commission
309,Europeana
310,FAIR
311,FAIR at Meta
312,FDA
313,FPT
314,FPT AI Center
315,FPT Software
316,Facebook
317,Facebook AI Research
318,Facebook and Harbin Institute of Technology
319,Facebook and Meta
320,Facebook and Universidad Politécnica de Cataluna
321,Facebook and University of Illinois at Urbana-Champaign
322,Facebook and University of Texas at Austin
323,Facebook and University of Washington
324,Facultad de Ingeniería - Universidad de la República - Uruguay
325,"Faculty of Engineering Cairo University, Cairo University"
326,"Faculty of Linguistics, Philology and Phonetics, University of Oxford"
327,Federal Supreme Court of Switzerland
328,FinAuto
329,Flexera
330,Flower Labs and University of Cambridge
331,Fondazione Bruno Kessler
332,Forschungszentrum Juelich GmbH
333,Fraunhofer FOKUS
334,Fraunhofer IIS
335,Fudan University
336,Fudan University and Shanghai AI Laboratory
337,Fudan University and Shanghai Innovation Institute
338,Fujitsu Research
339,Fujitsu Research and Development Center Co. Ltm.
340,Fuzhou University
341,GE HealthCare
342,GE Healthcare
343,GEHC
344,GESIS and Heinrich-Heine-University Düsseldorf
345,GESIS – Leibniz Institute for the Social Sciences and Heinrich-Heine University Düsseldorf
346,GM Lab
347,"GenAI, Meta"
348,"Genentech and University of California, Los Angeles"
349,Georg-August Universität Göttingen
350,George Mason University
351,George Washington University
352,Georgetown University and Army Research Lab
353,Georgia Institute of Technology
354,"German Research Center for AI, The Hessian Center for AI and TU Darmstadt"
355,"Gifu University and National Institute of Information and Communications Technology (NICT), National Institute of Advanced Industrial Science and Technology"
356,Google
357,Google DeepMind
358,Google DeepMind and Georgia Institute of Technology
359,"Google DeepMind and University of California, San Diego"
360,Google DeepMind and University of Cambridge
361,Google Deepmind
362,Google Research
363,"Google and Bar-Ilan University, Technion"
364,Google and Harvard University
365,Google and Korea Advanced Institute of Science and Technology
366,Google and Tel Aviv University
367,"Google and The Hebrew University of Jerusalem, Israel"
368,Google and University of Washington
369,Great Bay University
370,Griffith University
371,"Guangdong OPPO Mobile Telecommunications Corp.,Ltd."
372,Guangdong University of Foreign Studies
373,Guangdong University of Technology
374,Guangming Laboratory
375,Guangxi University
376,Guangzhou University
377,Guizhou University
378,Gwangju Institute of Science and Technology
379,HKUST
380,HKUST-GZ
381,HPE
382,HSE University and Vinogradov Russian Language Institute RAS
383,Haidian Urban Renewal Group
384,Hamline University
385,Hangzhou City University
386,Hangzhou Dianzi University
387,Hangzhou Institute of Medicine Chinese Academy of Science
388,Hankuk University of Foreign Studies
389,Hanoi University of Science and Technology
390,Hanyang University
391,Haramaya University
392,Harbin Institute of Technology
393,Harbin Institute of Technology (Shenzhen)
394,Harbin Institute of Technology (Shenzhen) and Shandong University
395,"Harbin Institute of Technology (Shenzhen), China"
396,Harbin Institute of Technology and Australian National University
397,"Harbin Institute of Technology, Shenzhen"
398,"Harbin Institute of Technology, Shenzhen and Pengcheng Laboratory"
399,Harbin Institute of Techology
400,Harbin institute of technology
401,Harvard University
402,"Harvard University, Harvard University"
403,Harvey
404,Hasso Plattner Institute and University of Potsdam
405,Hebrew University of Jerusalem
406,Hefei University
407,Hefei University of Technology
408,Heidelberg Institute for Theoretical Studies
409,Heidelberg University
410,Heinrich Heine University Düsseldorf
411,"Heinrich Heine University Düsseldorf, Germany"
412,Helixon Research
413,Henan Univeristy
414,Hewlett Packard Enterprise
415,"HiTZ Center, University of the Basque Country (UPV/EHU)"
416,Hikvision Research Institute
417,Hitotsubashi University
418,"Ho Chi Minh city University of Science, Vietnam National University"
419,Hochschule der Medien (University of Applied Sciences)
420,Hohai University
421,Hokkaido University
422,Hong Kong Baptist University
423,Hong Kong Polytechnic University
424,"Hong Kong Polytechnic University and Harbin Institute of Technology, Shenzhen"
425,"Hong Kong Polytechnic University and Sichuan University, China"
426,Hong Kong University of Science and Technology
427,Hong Kong University of Science and Technology (Guangzhou)
428,Hong Kong University of Science and Technology and Imperial College London
429,Hongik University
430,Huawei
431,Huawei Noah’s Ark Lab
432,Huawei Noah’s Ark Lab (AI Lab)
433,Huawei Technologies Ltd.
434,Huazhong Agricultural University
435,Huazhong University of Science and Technology
436,Hugging Face
437,HuggingFace
438,Humboldt Universität Berlin
439,Humboldt-Universität zu Berlin
440,Hunan University
441,Hyundai Motor Group and KAIST
442,I2R
443,"I2R, A*STAR"
444,IAAR
445,IBM
446,IBM Research
447,IBM Research AI
448,IBM Research Europe - Ireland
449,IDEA
450,IFLYTEK CO.LTD.
451,IHPC
452,IIC
453,IIE
454,IIT Bhubaneswar
455,INESC TEC
456,INF
457,INF Tech.
458,INRIA
459,INSAIT and Google
460,INTSIG
461,INTSIG Information
462,IRIT
463,"IRIT, université de Toulouse"
464,IRT Saint Exupery
465,IRT Saint-Exupery
466,"ISIR, Sorbonne Université & CNRS"
467,IT University of Copenhagen
468,"IT:U Interdisciplinary Transformation University Austria, Technische Universität Darmstadt and IBM Research Ireland"
469,Ibb University
470,Idiap Research Institute and University of Manchester
471,Idiap research institute
472,Imperial College London
473,"Imperial College London and Bayero University, Kano-Nigeria"
474,Imperial College London and University of Manchester
475,Independent
476,Independent Researcher
477,Indian Association for the Cultivation of Science
478,"Indian Institute of Science, Bangalore"
479,"Indian Institute of Science, Indian institute of science, Bangalore"
480,Indian Institute of Technology Bombay
481,"Indian Institute of Technology Bombay, Indian Institute of Technology Bombay"
482,"Indian Institute of Technology Bombay, Indian Institute of Technology, Bombay"
483,Indian Institute of Technology Madras
484,"Indian Institute of Technology Patna, India"
485,"Indian Institute of Technology, Bombay"
486,"Indian Institute of Technology, Bombay, Dhirubhai Ambani Institute Of Information and Communication Technology"
487,"Indian Institute of Technology, Delhi"
488,"Indian Institute of Technology, Indore"
489,"Indian Institute of Technology, Jodhpur"
490,"Indian Institute of Technology, Kanpur and Amazon"
491,"Indian Institute of Technology, Madras"
492,"Indian Institute of Technology, Madras, Dhirubhai Ambani Institute Of Information and Communication Technology"
493,"Indian Institute of Technology, Madras, Dhirubhai Ambani Institute Of Information and Communication Technology and Indian Institute of Technology, Madras, Dhirubhai Ambani Institute Of Information and Communication Technology"
494,"Indian Institute of Technology, Patna"
495,"Indian Institute of Technology, Patna."
496,Indian Statistical Institute
497,Individual Researcher
498,"Indraprastha Institute of Information Technology, Delhi"
499,Industry
500,Inf Tech
501,Infinigence-AI
502,Infly Technology
503,Inner Mongolia University
504,Insignia
505,Institut Teknologi Bandung
506,Institut Teknologi Sepuluh Nopember
507,Institut de Recherche en Informatique de Toulouse and IRT Saint Exupery
508,Institut de recherche en informatique de toulouse
509,Institut d’Etudes Politiques de Paris (Sciences Po)
510,Institut für Informatik
511,"Institute for AI in Medicine (IKIM), University Medicine Essen"
512,"Institute for Advanced Algorithms Research, Shanghai"
513,"Institute for Computational Linguistics “A. Zampolli” (CNR-ILC), Pisa"
514,"Institute for Computer Science, Artificial Intelligence and Technology, Mohamed bin Zayed University of Artificial Intelligence and Technische Universität Darmstadt"
515,"Institute for Infocomm Research, A*STAR and National University of Singapore"
516,"Institute for Infocomm Research, Agency for Science, Technology and Research, Singapore"
517,"Institute of Automation of,Chinese Academy of Sciences"
518,"Institute of Automation, CAS,China"
519,"Institute of Automation, Chinese Academy of Sciences"
520,"Institute of Automation, Chinese Academy of Sciences (CASIA)"
521,"Institute of Computing Technolgy, Chinese Academy of Sciences"
522,"Institute of Computing Technology , Chinese Academy of Sciences"
523,"Institute of Computing Technology, Chinese Academy"
524,"Institute of Computing Technology, Chinese Academy of Sciences"
525,"Institute of Computing Technology, Chinese Academy of Sciences, China"
526,"Institute of High Performance Computing, Singapore, A*STAR"
527,"Institute of Industrial Science, the University of Tokyo"
528,Institute of Information Engeering
529,"Institute of Information Engineering, Chinese Academy of Sciences"
530,"Institute of Information Engineering,Chinese Academy of Sciences"
531,Institute of Science Tokyo
532,"Institute of Science Tokyo and Tokyo Institute of Technology, Tokyo Institute of Technology"
533,Institute of Software Chinese Academy of Sciences
534,"Institute of Software, CAS"
535,"Institute of Software, Chinese Academy of Sciences"
536,"Institute of automation, Chinese Academy of Sciences"
537,"Institute of automation, Chinese academy of science"
538,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences"
539,"Institute of automation, Chinese academy of sciences"
540,Instituto Superior Técnico
541,Instituto Superior Técnico and Unbabel
542,Instituto Tecnológico y de Estudios Superiores de Monterrey
543,Instituto de Ingeniería del Conocimiento
544,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas - UNAM
545,Instituto de Telecomunicações
546,"Instituto de Telecomunicações, Portugal"
547,"Instituto de Telecomunicações, Portugal and Instituto Superior Técnico"
548,Intel AI Research
549,"Interactive Entertainment Group, Tencent Inc."
550,International Business Machines
551,International Business Machines (IBM)
552,International Institute of Information Technology Hyderabad
553,"International Institute of Information Technology Hyderabad, India"
554,Intron Health
555,Intuit
556,Intuit AI
557,Intuit AI Research
558,Iowa State University
559,Istituto di Linguistica Computazionale “A. Zampolli” (ILC)
560,IÉSEG School of Management and KU Leuven
561,J.P. Morgan Chase
562,JD.com
563,JP Morgan AI Research
564,JPMorgan AI Research
565,"Japan Advanced Institute of Science and Technology, Tokyo Institute of Technology"
566,"Japanese Organization of Mental Health and Educational Agencies and iDEAR Human Support Service Co., Ltd."
567,Jiangsu University of Science and Technology
568,Jiangxi University of Finance and Economics
569,Jilin University
570,"Jilin University, China"
571,Jina AI
572,Johannes-Gutenberg Universität Mainz
573,"Johannes-Gutenberg Universität Mainz, Johannes-Gutenberg Universität Mainz, University of Colorado, Boulder and New York University"
574,Johns Hopkins University
575,"Johns Hopkins University and Tsinghua University, Tsinghua University"
576,Jordan University of Science and Technology
577,Julius-Maximilians-Universität Würzburg
578,K-Scale Labs and University of Warsaw
579,KAIST
580,KMind.AI and Westlake University
581,KT
582,KTH Royal Institute of Technology
583,KU Leuven
584,"KU Leuven, KU Leuven"
585,Kaduna State University
586,Kakao Brain
587,Kakao Brain Corp.
588,Kakao Corp.
589,KakaoBank
590,Karlsruhe University of Applied Sciences
591,Karlsruher Institut für Technologie
592,Kazan Federal University
593,Keio University
594,Kempelen Institute of Intelligent Technologies
595,Kempelen Institute of Intelligent Technologies and Comenius University in Bratislava
596,Kempelen Institute of Intelligent Technologies and Copenhagen University
597,Kensho
598,Kensho Technologies
599,Key Laboratory of Ethnic Language Intelligence
600,King Abdulaziz University
601,King Abdullah University of Science and Technology
602,King Abdullah University of Science and Technology and Pennsylvania State University
603,King Mongkut’s University of Technology Thonburi
604,"King’s College London, University of London"
605,Know Center GmbH and Technische Universität Graz
606,Komisi Pemberantasan Korupsi
607,Konkuk University
608,Korea Advanced Institute of Science & Technology
609,Korea Advanced Institute of Science & Technology and INEEJI
610,Korea Advanced Institute of Science & Technology and LG Electronics
611,Korea Advanced Institute of Science and Technology
612,Korea Advanced Institute of Science and Technology and AITRICS
613,Korea Telecom Research
614,Korea University
615,Korea University and Gauss Labs Inc.
616,Kuaishou
617,Kuaishou Technology
618,Kuaishou- 快手科技
619,Kyoto University
620,Kyoto University and RIKEN
621,"Kyoto University, Kyoto University"
622,Kyung Hee University
623,Kyushu University
624,LBOX
625,LG AI Research
626,LG Corporation
627,"LG Corporation and University of Illinois, Chicago"
628,LG Electronics
629,"LIP6, Sorbonne Université/CNRS and AXA"
630,LY Corporation
631,Lancaster University
632,Landbase Inc.
633,Lanzhou University
634,Lappeenranta University of Technology and University of Copenhagen
635,Lehigh University
636,Leiden University
637,Lelapa AI
638,Lelapa AI and University of Pretoria
639,Lenovo Group Limited
640,Lenovo Research
641,Li Auto
642,LifeArc
643,LightOn
644,Lingnan Normal University and Guangdong University of Technology
645,LinkedIn
646,London Institute for Mathematical Sciences
647,Los Alamos National Laboratory
648,Lossfunk
649,Louvain School of Management
650,Ludwig Maximilian University of Munich and Siemens Corporate Research
651,Ludwig-Maximilians-Universität München
652,Ludwig-Maximilians-Universität München and Siemens Corporate Research
653,L’École des hautes études en sciences sociales
654,"MBZUAI, RIKEN and Tohoku University"
655,"MERCK & CO., INC."
656,MIM Solutions and University of Warsaw
657,MPI-SWS
658,MTS AI
659,Macquarie University
660,Masakhane
661,Maseno University
662,Massachusetts Institute of Technology
663,Massachusetts Institute of Technology and International Business Machines
664,Massachusetts Institute of Technology and Kensho
665,Massachusetts Institute of Technology and Massachusetts Institute of Technology
666,Massachusetts Institute of Technology and Mohamed bin Zayed University of Artificial Intelligence
667,Max Planck Institute for Software Systems (MPI-SWS)
668,Max-Planck Institute for Evolutionary Anthropology
669,Max-Planck Institute for Informatics
670,"Max-Planck-Institute for Intelligent Systems, Max-Planck Institute and ELLIS Institute Tübingen"
671,Maximus
672,McGill University
673,"McGill University and Montreal Institute for Learning Algorithms, University of Montreal, University of Montreal"
674,"McGill University, McGill University and Mila - Quebec Artificial Intelligence Institute"
675,"McGill University, Mila Research Institute and Microsoft"
676,"McGill University, Mila and McGill University"
677,Medidata Solutions
678,"Meedan, University of Oxford and Alan Turing Institute"
679,Meituan
680,Meta
681,Meta AI
682,Meta AI and Carnegie Mellon University
683,Meta AI and Massachusetts Institute of Technology
684,Meta FAIR
685,"Meta Platforms, Inc."
686,Meta and Meta
687,Michigan State University
688,Microsoft
689,Microsoft Research
690,Microsoft Research Asia
691,"Microsoft Research, Redmond, WA, USA"
692,Microsoft and Borealis AI
693,"Microsoft and Indian Institute of Technology, Madras"
694,Microsoft and Johns Hopkins University
695,"Microsoft, USA"
696,Midea Group
697,Mila - Quebec Artificial Intelligence Institute
698,Mila - Quebec Artificial Intelligence Institute and Université de Montréal
699,Minzu University of China
700,Minzu University of China and National Language Resource Monitoring & Research Center of Minority Languages
701,Mirelo AI
702,Misr University for Science and Technology
703,Mistral AI
704,ModelBest
705,Modelcode.ai
706,Mohamed bin Zayed University of Artificial Intelligence
707,Mohamed bin Zayed University of Artificial Intelligence and Carnegie Mellon University
708,Mohamed bin Zayed University of Artificial Intelligence and Chalmers University of Technology
709,Mohamed bin Zayed University of Artificial Intelligence and RIKEN
710,Mohamed bin Zayed University of Artificial Intelligence and University of British Columbia
711,Mohammed VI Polytechnic University
712,Monash University
713,Monash University and Boston University
714,"Monash University, Monash University and Monash University"
715,"Montreal Institute for Learning Algorithms, University of Montreal, University of Montreal and International Business Machines"
716,"Montreal Institute for Learning Algorithms, University of Montreal, Université de Montréal"
717,Montreal Institute of Learning Algorithms
718,Moonshot AI
719,Morgan Stanley
720,Morgan Stanley Canada
721,"Moscow Institute of Physics and Technology, Moscow Institute of Physics and Technology and AIRI"
722,NAIST
723,NASK - National Research Institute
724,NAVER
725,NAVER CLOUD
726,NAVER CLOVA
727,NAVER Cloud
728,NEC
729,NEC Laboratories America
730,NEC Laboratories Europe
731,NEC Laboratories Europe GmbH
732,NEC Laboratories Europe and NEC Laboratories Europe
733,"NEC Laboratories Europe, St.Cyril and Methodius University and NEC Laboratories Europe"
734,NEC Labs America
735,NEC and Technische Universität Darmstadt
736,NEC-Labs
737,"NII, Tokyo Institute of Technology"
738,"NINJAL, Tohoku University and RIKEN"
739,NTT
740,NTT Communications
741,"NTT Docomo, Inc."
742,"NTT, The University of Tokyo"
743,NUS School of Computing
744,NVIDIA
745,NVIDIA Research
746,NVIDIA and National Taiwan University
747,"NYU Courant, Shanghai Artificial Intelligence Laboratory and Huazhong University of Science and Technology"
748,NYU Langone
749,Nanjing University
750,Nanjing University of Aeronautics and Astronautics
751,Nanjing University of Science and Technology
752,Nankai University
753,Nantes University
754,Nanyang Technological University
755,Nanyang Technological University and A*STAR
756,Nanyang Technological University and National University of Singapore
757,Nanyang Technological University and SalesForce.com
758,Nara Institute of Science and Technology
759,"Nara Institute of Science and Technology, Japan"
760,"Nara Institute of Science and Technology, Japan and National Institute of Information and Communications Technology (NICT)"
761,"Nara Institute of Science and Technology, Japan and National Institute of Information and Communications Technology (NICT), National Institute of Advanced Industrial Science and Technology"
762,"National Center for AI (NCAI), Saudi Data and AI Authority (SDAIA)"
763,National Central University
764,National Institute for Japanese Language and Linguistics
765,National Institute for Japanese Language and Linguistics and University of Tokyo
766,National Institute of Informatics
767,National Institute of Informatics (NII) and Kyoto University
768,National Institute of Information and Communications Technology
769,"National Institute of Information and Communications Technology (NICT), National Institute of Advanced Industrial Science and Technology"
770,National Institute of Standards and Technology
771,National Research Council Canada and University of Ottawa
772,National Taiwan University
773,National Taiwan University of Science and Technology
774,National Technical University of Athens
775,National Technical University of Athens and École Polytechnique
776,National University of Defense Technology
777,National University of Singapore
778,"National University of Singapore and Agency for Science, Technology and Research (A*STAR))"
779,National University of Singapore and Ton Duc Thang University
780,National University of Singapore and Zhejiang University
781,National Yang Ming Chiao Tung University
782,Neovalle Ltd
783,NetEase Corp
784,Neural Magic
785,New Mexico State University
786,New York University
787,New York University Abu Dhabi
788,New York University and Facebook
789,New York University and Google
790,New York University and LG AI Research
791,Nnamdi Azikiwe University
792,Nokia Bell Labs and Department of Computer Science
793,None
794,North Carolina State University
795,North-West University
796,Northeast University
797,Northeastern University
798,Northeastern University and Technion - Israel Institute of Technology
799,"Northeastern University, China"
800,"Northeastern University, Northeastern University and University of Michigan"
801,Northwell Health
802,Northwest Minzu University
803,Northwest Polytechnical University
804,Northwest Polytechnical University Xi’an
805,Northwestern University
806,Norwegian Computing Center
807,Novosibirsk State University and Russian National Corpus
808,Nuance Communications
809,OPPO
810,OPPO Research Institute
811,Ohio State University
812,"Ohio State University, Columbus"
813,OpenAI
814,Optum AI
815,Opus AI Research
816,Oracle
817,Orange
