,affiliation,country
103,Baidu Inc,[China]
104,Baidu Inc.,[China]
105,Bar Ilan University,[Israel]
106,Bar-Ilan University,[Israel]
107,Barcelona Supercomputing Center,[Spain]
108,Bayerische Julius-Maximilians-Universität Würzburg,[Germany]
109,Bayero University Kano,[Nigeria]
110,Baylor University,[United States]
111,Beever AI and Votee AI,"[India, Hong Kong]"
112,Beihang University,[China]
113,Beijing Academy of Artificial Intelligence,[China]
114,Beijing Academy of Artificial Intelligence (BAAI),[China]
115,Beijing Academy of Artificial Intelligence(BAAl),[China]
116,"Beijing Academy of Artificial Intelligence(BAAl), Peking University and Hong Kong University of Science and Technology (Guangzhou)",[China]
117,Beijing Academy of Quantum Information Sciences,[China]
118,"Beijing Baichuan Intelligence Technology Co., Ltd.",[China]
119,Beijing Institute for General Artificial Intelligence,[China]
120,Beijing Institute of Control Engineering,[China]
121,Beijing Institute of Technology,[China]
122,Beijing Institute of Technology and Open University,"[China, United Kingdom]"
123,Beijing Jiaotong University,[China]
124,"Beijing Knowledge Atlas Technology Co., Ltd.",[China]
125,Beijing Knowledge Atlas Technology Joint Stock Company Limited,[China]
126,Beijing Normal University,[China]
127,Beijing University of Aeronautics and Astronautics,[China]
128,Beijing University of Post and Telecommunication,[China]
129,Beijing University of Posts and Telecommunications,[China]
130,"Beijing University of Posts and Telecommunications, Beijing University of Posts and Telecommunications and Beijing University of Posts and Telecommunications",[China]
131,Beijing University of Technology,[China]
132,Ben Gurion University of the Negev,[Israel]
133,BenevolentAI,[United Kingdom]
134,Berkeley Center for Law and Business,[United States]
135,Bielefeld University,[Germany]
136,Binus University,[Indonesia]
137,"Birkbeck, University of London",[United Kingdom]
138,Birzeit University,[Palestine]
139,Bocconi University,[Italy]
140,Boehringer Ingelheim,[Germany]
141,Booking,[Netherlands]
142,Brno University of Technology,[Czech Republic]
143,Brown University,[United States]
144,ByteDance,[China]
145,ByteDance Inc and Georgia Institute of Technology,"[China, United States]"
146,ByteDance Inc.,[China]
147,ByteDance Seed,[China]
148,Bytedance,[China]
149,CENTAI,[Italy]
150,CENTAI Institute,[Italy]
151,CIGIT,[Burkina Faso]
152,CISPA Helmholtz Center for Information Security,[Germany]
153,CISPA Helmholtz Center for Information Security and Saarland University,[Germany]
154,CJ,[South Korea]
155,CJ Group,[South Korea]
156,"CMU, Carnegie Mellon University",[United States]
157,CNPIEC KEXIN LTD,[China]
158,CNRS,[France]
159,"CNRS / ISIR, Sorbonne Université and CNRS",[France]
160,CONICET / Universidad de Buenos Aires,[Argentina]
161,CRIL Univ-Artois & CNRS,[France]
162,CSIRO,[Australia]
163,CSIRO and University of Queensland,[Australia]
164,Cairo University,[Egypt]
165,"California State University, Long Beach",[United States]
166,Calvin College,[United States]
167,Capital One,[United States]
168,CapitalOne,[United States]
169,Cardiff University,[United Kingdom]
170,Carnegie Mellon University,[United States]
171,Center for Information and Language Processing,[Germany]
172,"Center for Information and Language Processing, LMU Munich",[Germany]
173,Central South University,[China]
174,Central University of Finance and Economics,[China]
175,"Centre for Artificial Intelligence and Robotics (CAIR), Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences","[India, China]"
176,"Centre for Artificial Intelligence and Robotics Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences","[India, China]"
177,Centro Universitário FEI,[Brazil]
178,"Cerebras Systems, Inc",[United States]
179,Chalmers University of Technology,[Sweden]
180,Chang Gung University,[Taiwan]
181,Changsha University of Science and Technology,[China]
182,Charles Darwin University,[Australia]
183,Charles University,[Czech Republic]
184,Charles University Prague,[Czech Republic]
185,Cheung Kong Graduate School of business,[China]
186,China Academy of Information and Communications Technology,[China]
187,China Mobile Information Technology Center,[China]
188,China Telecom,[China]
189,China Telecom and Northwestern Polytechnical University,"[China, China]"
190,China Three Gorges Corporation,[China]
191,China University of Petroleum,[China]
192,Chinese Academy of Sciences,[China]
193,Chinese Academy of Sciences and Chinese Information Processing Laboratory,[China]
194,Chinese University of Hong Kong,[Hong Kong]
195,"Chinese University of Hong Kong, Shenzhen",[China]
196,"Chinese University of Hong Kong, The Chinese University of Hong Kong",[Hong Kong]
197,Chongqing University,[China]
198,Chongqing University of Post and Telecommunications,[China]
199,Chung-Ang University,[South Korea]
200,Cisco,[United States]
201,City University of Hong Kong,[Hong Kong]
202,City University of Hong Kong and Xi’an Jiaotong University,"[China, Hong Kong]"
203,Cliniques universitaires Saint-Luc,[Belgium]
204,Cohere,Canada
205,Cohere AI,[Canada]
206,Cohere For AI,Canada
207,Cohere Labs,[Canada]
208,Cohere and Cohere,[Canada]
209,Cold Spring Harbor Laboratory,[United States]
210,"College of Computer Science and Technology, Zhejiang University",[China]
211,Colorado State University,[United States]
212,Columbia University,[United States]
213,"Columbia University, University of Maryland, Baltimore County, IBM TJ Watson Research Center and Tsinghua University","[United States, China]"
214,Common Crawl Foundation,[United States]
215,"Commonwealth Scientific and Industrial Research Organisation, CSIRO",[Australia]
216,"Computer Network Information Center, Chinese Academy of Sciences",[China]
217,"Computer Network Information Center, Chinese Academy of Sciences,",[China]
218,"Computer Science Departmen, Technion-Israel Institute of Technology",[Israel]
219,"Computer Science Department, Stanford University",[United States]
220,"Computer Science Department, Stanford University and NVIDIA",[United States]
221,"Computer Science Department, Stanford University, University of Chicago and Sentience Institute",[United States]
222,"Computer Science Department, Technion - Israel Institute of Technology",[Israel]
223,"Computer Science and Engineering Department, University of California, San Diego",[United States]
224,"Computing Science, University of British Columbia",[Canada]
225,Consiglio Nazionale delle Ricerche,[Italy]
226,Copenhagen University,[Denmark]
227,Copenhagen University and KAIST,"[Denmark, South Korea]"
228,Cornell University,[United States]
229,Cornell University and ASAPP,[United States]
230,Corti,[Denmark]
231,Counsel AI Corporation,[Japan]
232,Coxwave and Seoul National University,[South Korea]
233,Criteo AI Lab and Sorbonne Universite,[France]
234,"CyberAgent, Inc.",[Japan]
235,DATUMO Inc.,[South Korea]
236,DFF - Deutsches Filminstitut & Filmmuseum,[Germany]
237,DISI - University of Bologna,[Italy]
238,DSO National Laboratories,[Singapore]
239,Dalian University of Technology,[China]
240,Dartmouth College,[United States]
241,DataCanvas,[China]
242,Dataxet:Sonar,[Turkey]
243,Decilion,[India]
244,DeepSeek,[China]
245,DeepSeek AI,[China]
246,DeepSeek and Peking University,[China]
247,Deepseed AI,[United States]
248,"Defense Innovation Unit and University of California, Berkeley",[United States]
249,Department of Computer Science,[Not enough information]
250,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology",[Hong Kong]
251,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology and Huawei Noah’s Ark Lab","[Hong Kong, China]"
252,"Department of Computer Science and Engineering, The Chinese University of Hong Kong",[Hong Kong]
253,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology",[Hong Kong]
254,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology and VGG, University of Oxford","[Hong Kong, United Kingdom]"
255,Department of Computer Science and Technology (Formerly Computer Laboratory),[United Kingdom]
256,"Department of Computer Science and Technology, Tsinghua University",[China]
257,"Department of Computer Science, Cornell University",[United States]
258,"Department of Computer Science, ETHZ - ETH Zurich",[Switzerland]
259,"Department of Computer Science, Humboldt University Berlin, Humboldt Universität Berlin",[Germany]
260,"Department of Computer Science, Indian Institute of Technology, Madras, Indian Institute of Technology, Madras",[India]
261,"Department of Computer Science, Indian Institute of Technology, Madras, Indian Institute of Technology, Madras and National Institute of Information and Communications Technology (NICT), National Institute of Advanced Industrial Science and Technology","[India, Japan]"
262,"Department of Computer Science, National Tsing Hua University, National Tsinghua University",[Taiwan]
263,"Department of Computer Science, The University of Hong Kong",[Hong Kong]
264,"Department of Computer Science, UIUC",[United States]
265,"Department of Computer Science, University of Illinois at Urbana-Champaign",[United States]
266,"Department of Computer Science, University of Maryland, College Park",[United States]
267,"Department of Computer Science, University of North Carolina at Chapel Hill",[United States]
268,"Department of Computer Science, University of Oxford",[United Kingdom]
269,"Department of Computer Science, University of Toronto",[Canada]
270,"Department of Computer Science, University of Washington",[United States]
271,"Department of Computer Science, University of Wisconsin - Madison",[United States]
272,"Department of Computer Science, Whiting School of Engineering",[United States]
273,"Department of Computer Science, Whiting School of Engineering and Bloomberg",[United States]
274,"Department of Computer Science, Yale University",[United States]
275,"Department of Electrical Engineering, KU Leuven, Belgium, KU Leuven and NEC","[Belgium, Japan]"
276,"Department of Mechanical and Industrial Engineering, University of Toronto and Department of Computer Science",[Canada]
277,"Dept. of Computer Sci. & Eng., Shanghai Jiao Tong University",[China]
278,Dialpad Inc.,[United States]
279,Dolby Labs.,[United States]
280,DoorDash,[United States]
281,Drexel University,[United States]
282,Dublin City University,[Ireland]
283,Duke University,[United States]
284,Durham University,[United Kingdom]
285,"ELLIS Institute and Max Planck Institute for Intelligent Systems, Max-Planck Institute",[Germany]
286,EPFL - EPF Lausanne,[Switzerland]
287,EPFL - EPF Lausanne and Microsoft,"[Switzerland, United States]"
288,ETHZ - ETH Zurich,[Switzerland]
289,ETHZ - ETH Zurich and Georgetown University,"[Switzerland, United States]"
290,ETHZ - ETH Zurich and Université de Lausanne,[Switzerland]
291,East China Normal University,[China]
292,East China University of Science and Technology,[China]
293,Eberhard-Karls-Universität Tübingen,[Germany]
294,Eberhard-Karls-Universität Tübingen and University of Cambridge,"[Germany, United Kingdom]"
295,Ecole Normale Supérieure de Paris,[France]
296,Ecole Normale Supérieure – PSL,[France]
297,"Ecole Polytechnique, France",[France]
298,"Edinburgh University, University of Edinburgh",[United Kingdom]
299,EduLab,[Finland]
300,Education Innovation Research Institute of Guangdong,[China]
301,Eindhoven University of Technology,[Netherlands]
302,Electrical Engineering & Computer Science Department,[United States]
303,"Electrical and Computer Engineering, Duke University",[United States]
304,Electronics and Telecommunications Research Institute,[South Korea]
305,EleutherAI,[United States]
306,Elice,[South Korea]
307,Emory University,[United States]
308,European Commission,[Belgium]
309,Europeana,[Netherlands]
310,FAIR,[Germany]
311,FAIR at Meta,[United States]
312,FDA,[United States]
313,FPT,[Vietnam]
314,FPT AI Center,[Vietnam]
315,FPT Software,[Vietnam]
316,Facebook,[United States]
317,Facebook AI Research,[United States]
318,Facebook and Harbin Institute of Technology,"[United States, China]"
319,Facebook and Meta,[United States]
320,Facebook and Universidad Politécnica de Cataluna,"[United States, Spain]"
321,Facebook and University of Illinois at Urbana-Champaign,[United States]
322,Facebook and University of Texas at Austin,[United States]
323,Facebook and University of Washington,[United States]
324,Facultad de Ingeniería - Universidad de la República - Uruguay,[Uruguay]
325,"Faculty of Engineering Cairo University, Cairo University",[Egypt]
326,"Faculty of Linguistics, Philology and Phonetics, University of Oxford",[United Kingdom]
327,Federal Supreme Court of Switzerland,[Switzerland]
328,FinAuto,[Finland]
329,Flexera,[United States]
330,Flower Labs and University of Cambridge,"[India, United Kingdom]"
331,Fondazione Bruno Kessler,[Italy]
332,Forschungszentrum Juelich GmbH,[Germany]
333,Fraunhofer FOKUS,[Germany]
334,Fraunhofer IIS,[Germany]
335,Fudan University,[China]
336,Fudan University and Shanghai AI Laboratory,[China]
337,Fudan University and Shanghai Innovation Institute,[China]
338,Fujitsu Research,[Japan]
339,Fujitsu Research and Development Center Co. Ltm.,[China]
340,Fuzhou University,[China]
341,GE HealthCare,[United States]
342,GE Healthcare,[United States]
343,GEHC,[United States]
344,GESIS and Heinrich-Heine-University Düsseldorf,[Germany]
345,GESIS – Leibniz Institute for the Social Sciences and Heinrich-Heine University Düsseldorf,[Germany]
346,GM Lab,[France]
347,"GenAI, Meta",[United States]
348,"Genentech and University of California, Los Angeles",[United States]
349,Georg-August Universität Göttingen,[Germany]
350,George Mason University,[United States]
351,George Washington University,[United States]
352,Georgetown University and Army Research Lab,[United States]
353,Georgia Institute of Technology,[United States]
354,"German Research Center for AI, The Hessian Center for AI and TU Darmstadt",[Germany]
355,"Gifu University and National Institute of Information and Communications Technology (NICT), National Institute of Advanced Industrial Science and Technology",[Japan]
356,Google,[United States]
357,Google DeepMind,[United Kingdom]
358,Google DeepMind and Georgia Institute of Technology,"[United Kingdom, United States]"
359,"Google DeepMind and University of California, San Diego","[United Kingdom, United States]"
360,Google DeepMind and University of Cambridge,[United Kingdom]
361,Google Deepmind,[United Kingdom]
362,Google Research,[United States]
363,"Google and Bar-Ilan University, Technion","[United States, Israel]"
364,Google and Harvard University,[United States]
365,Google and Korea Advanced Institute of Science and Technology,"[United States, South Korea]"
366,Google and Tel Aviv University,"[United States, Israel]"
367,"Google and The Hebrew University of Jerusalem, Israel","[United States, Israel]"
368,Google and University of Washington,[United States]
369,Great Bay University,[China]
370,Griffith University,[Australia]
371,"Guangdong OPPO Mobile Telecommunications Corp.,Ltd.",[China]
372,Guangdong University of Foreign Studies,[China]
373,Guangdong University of Technology,[China]
374,Guangming Laboratory,[China]
375,Guangxi University,[China]
376,Guangzhou University,[China]
377,Guizhou University,[China]
378,Gwangju Institute of Science and Technology,[South Korea]
379,HKUST,[Hong Kong]
380,HKUST-GZ,[China]
381,HPE,[United States]
382,HSE University and Vinogradov Russian Language Institute RAS,[Russia]
383,Haidian Urban Renewal Group,[China]
384,Hamline University,[United States]
385,Hangzhou City University,[China]
386,Hangzhou Dianzi University,[China]
387,Hangzhou Institute of Medicine Chinese Academy of Science,[China]
388,Hankuk University of Foreign Studies,[South Korea]
389,Hanoi University of Science and Technology,[Vietnam]
390,Hanyang University,[South Korea]
391,Haramaya University,[Ethiopia]
392,Harbin Institute of Technology,[China]
393,Harbin Institute of Technology (Shenzhen),[China]
394,Harbin Institute of Technology (Shenzhen) and Shandong University,[China]
395,"Harbin Institute of Technology (Shenzhen), China",[China]
396,Harbin Institute of Technology and Australian National University,"[China, Australia]"
397,"Harbin Institute of Technology, Shenzhen",[China]
398,"Harbin Institute of Technology, Shenzhen and Pengcheng Laboratory",[China]
399,Harbin Institute of Techology,[China]
400,Harbin institute of technology,[China]
401,Harvard University,[United States]
402,"Harvard University, Harvard University",[United States]
403,Harvey,[Australia]
404,Hasso Plattner Institute and University of Potsdam,[Germany]
405,Hebrew University of Jerusalem,[Israel]
406,Hefei University,[China]
407,Hefei University of Technology,[China]
408,Heidelberg Institute for Theoretical Studies,[Germany]
409,Heidelberg University,[Germany]
410,Heinrich Heine University Düsseldorf,[Germany]
411,"Heinrich Heine University Düsseldorf, Germany",[Germany]
412,Helixon Research,[China]
413,Henan Univeristy,[China]
414,Hewlett Packard Enterprise,United States
415,"HiTZ Center, University of the Basque Country (UPV/EHU)",[Spain]
416,Hikvision Research Institute,[China]
417,Hitotsubashi University,[Japan]
418,"Ho Chi Minh city University of Science, Vietnam National University",[Vietnam]
419,Hochschule der Medien (University of Applied Sciences),[Germany]
420,Hohai University,[China]
421,Hokkaido University,[Japan]
422,Hong Kong Baptist University,[Hong Kong]
423,Hong Kong Polytechnic University,[Hong Kong]
424,"Hong Kong Polytechnic University and Harbin Institute of Technology, Shenzhen",[China]
425,"Hong Kong Polytechnic University and Sichuan University, China",[China]
426,Hong Kong University of Science and Technology,[Hong Kong]
427,Hong Kong University of Science and Technology (Guangzhou),[China]
428,Hong Kong University of Science and Technology and Imperial College London,"[Hong Kong, United Kingdom]"
429,Hongik University,[South Korea]
430,Huawei,[China]
431,Huawei Noah’s Ark Lab,[China]
432,Huawei Noah’s Ark Lab (AI Lab),[China]
433,Huawei Technologies Ltd.,[China]
434,Huazhong Agricultural University,[China]
435,Huazhong University of Science and Technology,[China]
436,Hugging Face,[France]
437,HuggingFace,[France]
438,Humboldt Universität Berlin,[Germany]
439,Humboldt-Universität zu Berlin,[Germany]
440,Hunan University,[China]
441,Hyundai Motor Group and KAIST,[South Korea]
442,I2R,[Singapore]
443,"I2R, A*STAR",[Singapore]
444,IAAR,[Kazakhstan]
445,IBM,[United States]
446,IBM Research,[United States]
447,IBM Research AI,[United States]
448,IBM Research Europe - Ireland,[Ireland]
449,IDEA,[Argentina]
450,IFLYTEK CO.LTD.,[China]
451,IHPC,[Singapore]
452,IIC,[India]
453,IIE,[Mexico]
454,IIT Bhubaneswar,[India]
455,INESC TEC,[Portugal]
456,INF,[Italy]
457,INF Tech.,[India]
458,INRIA,[France]
459,INSAIT and Google,"[Bulgaria, United States]"
460,INTSIG,[China]
461,INTSIG Information,[China]
462,IRIT,[France]
463,"IRIT, université de Toulouse",[France]
464,IRT Saint Exupery,[France]
465,IRT Saint-Exupery,[France]
466,"ISIR, Sorbonne Université & CNRS",[France]
467,IT University of Copenhagen,[Denmark]
468,"IT:U Interdisciplinary Transformation University Austria, Technische Universität Darmstadt and IBM Research Ireland","[Austria, Germany, Ireland]"
469,Ibb University,[Yemen]
470,Idiap Research Institute and University of Manchester,"[Switzerland, United Kingdom]"
471,Idiap research institute,[Switzerland]
472,Imperial College London,[United Kingdom]
473,"Imperial College London and Bayero University, Kano-Nigeria","[United Kingdom, Nigeria]"
474,Imperial College London and University of Manchester,[United Kingdom]
475,Independent,[]
476,Independent Researcher,[]
477,Indian Association for the Cultivation of Science,[India]
478,"Indian Institute of Science, Bangalore",[India]
479,"Indian Institute of Science, Indian institute of science, Bangalore",[India]
480,Indian Institute of Technology Bombay,[India]
481,"Indian Institute of Technology Bombay, Indian Institute of Technology Bombay",[India]
482,"Indian Institute of Technology Bombay, Indian Institute of Technology, Bombay",[India]
483,Indian Institute of Technology Madras,[India]
484,"Indian Institute of Technology Patna, India",[India]
485,"Indian Institute of Technology, Bombay",[India]
486,"Indian Institute of Technology, Bombay, Dhirubhai Ambani Institute Of Information and Communication Technology",[India]
487,"Indian Institute of Technology, Delhi",[India]
488,"Indian Institute of Technology, Indore",[India]
489,"Indian Institute of Technology, Jodhpur",[India]
490,"Indian Institute of Technology, Kanpur and Amazon","[India, United States]"
491,"Indian Institute of Technology, Madras",[India]
492,"Indian Institute of Technology, Madras, Dhirubhai Ambani Institute Of Information and Communication Technology",[India]
493,"Indian Institute of Technology, Madras, Dhirubhai Ambani Institute Of Information and Communication Technology and Indian Institute of Technology, Madras, Dhirubhai Ambani Institute Of Information and Communication Technology",[India]
494,"Indian Institute of Technology, Patna",[India]
495,"Indian Institute of Technology, Patna.",[India]
496,Indian Statistical Institute,[India]
497,Individual Researcher,[]
498,"Indraprastha Institute of Information Technology, Delhi",[India]
499,Industry,[]
500,Inf Tech,[India]
501,Infinigence-AI,[Saudi Arabia]
502,Infly Technology,[India]
503,Inner Mongolia University,[China]
504,Insignia,[Singapore]
505,Institut Teknologi Bandung,[Indonesia]
506,Institut Teknologi Sepuluh Nopember,[Indonesia]
507,Institut de Recherche en Informatique de Toulouse and IRT Saint Exupery,[France]
508,Institut de recherche en informatique de toulouse,[France]
509,Institut d’Etudes Politiques de Paris (Sciences Po),[France]
510,Institut für Informatik,[Germany]
511,"Institute for AI in Medicine (IKIM), University Medicine Essen",[Germany]
512,"Institute for Advanced Algorithms Research, Shanghai",[China]
513,"Institute for Computational Linguistics “A. Zampolli” (CNR-ILC), Pisa",[Italy]
514,"Institute for Computer Science, Artificial Intelligence and Technology, Mohamed bin Zayed University of Artificial Intelligence and Technische Universität Darmstadt","[China, United Arab Emirates, Germany]"
515,"Institute for Infocomm Research, A*STAR and National University of Singapore",[Singapore]
516,"Institute for Infocomm Research, Agency for Science, Technology and Research, Singapore",[Singapore]
517,"Institute of Automation of,Chinese Academy of Sciences",[China]
518,"Institute of Automation, CAS,China",[China]
519,"Institute of Automation, Chinese Academy of Sciences",[China]
520,"Institute of Automation, Chinese Academy of Sciences (CASIA)",[China]
521,"Institute of Computing Technolgy, Chinese Academy of Sciences",[China]
522,"Institute of Computing Technology , Chinese Academy of Sciences",[China]
523,"Institute of Computing Technology, Chinese Academy",[China]
524,"Institute of Computing Technology, Chinese Academy of Sciences",[China]
525,"Institute of Computing Technology, Chinese Academy of Sciences, China",[China]
526,"Institute of High Performance Computing, Singapore, A*STAR",[Singapore]
527,"Institute of Industrial Science, the University of Tokyo",[Japan]
528,Institute of Information Engeering,China
529,"Institute of Information Engineering, Chinese Academy of Sciences",[China]
530,"Institute of Information Engineering,Chinese Academy of Sciences",[China]
531,Institute of Science Tokyo,[Japan]
532,"Institute of Science Tokyo and Tokyo Institute of Technology, Tokyo Institute of Technology",[Japan]
533,Institute of Software Chinese Academy of Sciences,[China]
534,"Institute of Software, CAS",[China]
535,"Institute of Software, Chinese Academy of Sciences",[China]
536,"Institute of automation, Chinese Academy of Sciences",[China]
537,"Institute of automation, Chinese academy of science",[China]
538,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences",[China]
539,"Institute of automation, Chinese academy of sciences",[China]
540,Instituto Superior Técnico,[Portugal]
541,Instituto Superior Técnico and Unbabel,[Portugal]
542,Instituto Tecnológico y de Estudios Superiores de Monterrey,[Mexico]
543,Instituto de Ingeniería del Conocimiento,[Spain]
544,Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas - UNAM,[Mexico]
545,Instituto de Telecomunicações,[Portugal]
546,"Instituto de Telecomunicações, Portugal",[Portugal]
547,"Instituto de Telecomunicações, Portugal and Instituto Superior Técnico",[Portugal]
548,Intel AI Research,[United States]
549,"Interactive Entertainment Group, Tencent Inc.","[United States, China]"
550,International Business Machines,[United States]
551,International Business Machines (IBM),[United States]
552,International Institute of Information Technology Hyderabad,[India]
553,"International Institute of Information Technology Hyderabad, India",[India]
554,Intron Health,[United Kingdom]
555,Intuit,[United States]
556,Intuit AI,[United States]
557,Intuit AI Research,[United States]
558,Iowa State University,[United States]
559,Istituto di Linguistica Computazionale “A. Zampolli” (ILC),[Italy]
560,IÉSEG School of Management and KU Leuven,"[France, Belgium]"
561,J.P. Morgan Chase,[United States]
562,JD.com,[China]
563,JP Morgan AI Research,[United States]
564,JPMorgan AI Research,United States
565,"Japan Advanced Institute of Science and Technology, Tokyo Institute of Technology",[Japan]
566,"Japanese Organization of Mental Health and Educational Agencies and iDEAR Human Support Service Co., Ltd.",[Japan]
567,Jiangsu University of Science and Technology,[China]
568,Jiangxi University of Finance and Economics,[China]
569,Jilin University,[China]
570,"Jilin University, China",[China]
571,Jina AI,[Germany]
572,Johannes-Gutenberg Universität Mainz,[Germany]
573,"Johannes-Gutenberg Universität Mainz, Johannes-Gutenberg Universität Mainz, University of Colorado, Boulder and New York University","[Germany, United States]"
574,Johns Hopkins University,[United States]
575,"Johns Hopkins University and Tsinghua University, Tsinghua University","[United States, China]"
576,Jordan University of Science and Technology,[Jordan]
577,Julius-Maximilians-Universität Würzburg,[Germany]
578,K-Scale Labs and University of Warsaw,"[India, Poland]"
579,KAIST,[South Korea]
580,KMind.AI and Westlake University,[China]
581,KT,[South Korea]
582,KTH Royal Institute of Technology,[Sweden]
583,KU Leuven,[Belgium]
584,"KU Leuven, KU Leuven",[Belgium]
585,Kaduna State University,[Nigeria]
586,Kakao Brain,[South Korea]
587,Kakao Brain Corp.,[South Korea]
588,Kakao Corp.,[South Korea]
589,KakaoBank,[South Korea]
590,Karlsruhe University of Applied Sciences,[Germany]
591,Karlsruher Institut für Technologie,[Germany]
592,Kazan Federal University,[Russia]
593,Keio University,[Japan]
594,Kempelen Institute of Intelligent Technologies,[Slovakia]
595,Kempelen Institute of Intelligent Technologies and Comenius University in Bratislava,[Slovakia]
596,Kempelen Institute of Intelligent Technologies and Copenhagen University,"[Slovakia, Denmark]"
597,Kensho,[United States]
598,Kensho Technologies,[United States]
599,Key Laboratory of Ethnic Language Intelligence,China
600,King Abdulaziz University,[Saudi Arabia]
601,King Abdullah University of Science and Technology,[Saudi Arabia]
602,King Abdullah University of Science and Technology and Pennsylvania State University,"[Saudi Arabia, United States]"
603,King Mongkut’s University of Technology Thonburi,[Thailand]
604,"King’s College London, University of London",[United Kingdom]
