,title,affiliations
41,Fusing Highly Specialized Language Models for Comprehensive Expertise,"['Tsinghua University, Tsinghua University', 'Shanghai Artificial Intelligence Laboratory', 'Tsinghua University, Tsinghua University', 'Tsinghua University', 'Tsinghua University', 'Tsinghua University']"
42,HybGRAG: Hybrid Retrieval-Augmented Generation on Textual and Relational Knowledge Bases,"['Carnegie Mellon University', 'Amazon', 'Amazon', 'Amazon', 'Amazon', 'Amazon Web Services', 'Amazon and Computer Science, George Mason University', 'Amazon and Carnegie Mellon University']"
43,Re-ranking Using Large Language Models for Mitigating Exposure to Harmful Content on Social Media Platforms,"['Microsoft', 'University of California, Davis', 'University of South Florida']"
44,Aligning AI Research with the Needs of Clinical Coding Workflows: Eight Recommendations Based on US Data Analysis and Critical Review,"['University of Sydney, University of Sydney', 'Universidad de Málaga', 'University of Sydney, University of Sydney', 'University of Sydney']"
45,MIND: A Multi-agent Framework for Zero-shot Harmful Meme Detection,"['Beijing University of Posts and Telecommunications', 'Beijing University of Posts and Telecommunications', 'Beijing University of Posts and Telecommunications', 'lut']"
46,EvoWiki: Evaluating LLMs on Evolving Knowledge,"['Fudan University', 'Singapore Management University', 'Fudan University', 'Fudan University', 'Fudan University', 'University of Science and Technology of China and China Academic of Electronics and Information Technology']"
47,Rethinking Repetition Problems of LLMs in Code Generation,"['Peking University', 'Beijing Institute of Control Engineering', 'Peking University', 'Peking University']"
48,PunchBench: Benchmarking MLLMs in Multimodal Punchline Comprehension,"['Peking University', 'Peking University', 'Peking University', 'Tencent', 'WeChat AI, Tencent Inc.', 'Peking University']"
49,ProcessBench: Identifying Process Errors in Mathematical Reasoning,"['Alibaba Group', 'Alibaba Group', 'Alibaba Group', 'Alibaba Group', 'Alibaba Group', 'Alibaba Group', 'Alibaba Group']"
50,Model Extrapolation Expedites Alignment,"['Alibaba Group', 'University of Illinois, Urbana-Champaign', 'University of California, Los Angeles']"
51,ATLANTIS: Weak-to-Strong Learning via Importance Sampling,"['Peking University', 'Alibaba Group', 'Peking University', 'Peking University', 'Peking University']"
52,MPVStance: Mitigating Hallucinations in Stance Detection with Multi-Perspective Verification,"['University of Chinese Academy of Sciences and Chinese Academy of Sciences', 'Chinese Academy of Sciences', 'Institute of Computing Technology, Chinese Academy']"
53,Personality-Guided Code Generation Using Large Language Models,"['Nanyang Technological University', 'King’s College London, University of London', 'Nanyang Technological University', 'Peking University']"
54,PsyDT: Using LLMs to Construct the Digital Twin of Psychological Counselor with Personalized Counseling Style for Psychological Counseling,"['South China University of Technology', 'South China University of Technology']"
55,BIPro: Zero-shot Chinese Poem Generation via Block Inverse Prompting Constrained Generation Framework,['Beijing Knowledge Atlas Technology Joint Stock Company Limited']
56,"LongDocURL: a Comprehensive Multimodal Long Document Benchmark Integrating Understanding, Reasoning, and Locating","['Alibaba Group', 'Alibaba Group', 'Institute of automation, Chinese academy of science, Chinese Academy of Sciences', 'Alibaba Group', 'Alibaba Group', 'Institute of automation, Chinese academy of science, Chinese Academy of Sciences']"
57,ObfusLM: Privacy-preserving Language Model Service against Embedding Inversion Attacks,"['Nanjing University', 'ByteDance Inc.', 'ByteDance Inc.', 'ByteDance Inc.', 'nanjing university']"
58,Interlocking-free Selective Rationalization Through Genetic-based Learning,"['University of Bologna', 'University of Bologna']"
59,Re-identification of De-identified Documents with Autoregressive Infilling,"['University of Oslo', 'Norwegian Computing Center']"
60,Modeling Uncertainty in Composed Image Retrieval via Probabilistic Embeddings,"['Tsinghua University', 'StepFun Technology Inc.', 'Tsinghua University, Tsinghua University', 'Harbin Institute of Technology, Shenzhen', 'The Hong Kong University of Science and Technology', 'Harbin Institute of Technology, Shenzhen and Pengcheng Laboratory', 'Shenzhen International Graduate School, Tsinghua University']"
61,Untie the Knots: An Efficient Data Augmentation Strategy for Long-Context Pre-Training in Language Models,"['Xiaohongshu', 'Xiaohongshu', 'Decilion']"
62,APPL: A Prompt Programming Language for Harmonious Integration of Programs and Large Language Model Prompts,"['Department of Computer Science, University of Toronto', 'University of Toronto', 'University of Toronto', 'University of Toronto', 'Stanford University and University of Toronto', 'Department of Computer Science, University of Toronto', 'University of Toronto and Google', 'University of Toronto']"
63,Evaluating Lexical Proficiency in Neural Language Models,"['Institute for Computational Linguistics “A. Zampolli” (CNR-ILC), Pisa', 'Institute for Computational Linguistics “A. Zampolli” (CNR-ILC), Pisa', 'Istituto di Linguistica Computazionale “A. Zampolli” (ILC)']"
64,Autoregressive Speech Synthesis without Vector Quantization,"['The Chinese University of Hong Kong', 'Microsoft Research Asia', 'Facebook and Harbin Institute of Technology', 'Microsoft', 'Microsoft', 'Microsoft', 'The Chinese University of Hong Kong', 'The Chinese University of Hong Kong', 'Microsoft Research']"
65,Cuckoo: An IE Free Rider Hatched by Massive Nutrition in LLM’s Nest,"['University of California, San Diego', 'University of California, San Diego']"
66,FedEx-LoRA: Exact Aggregation for Federated and Efficient Fine-Tuning of Large Language Models,"['Mohamed bin Zayed University of Artificial Intelligence', 'Massachusetts Institute of Technology and Mohamed bin Zayed University of Artificial Intelligence']"
67,Measuring Social Biases in Masked Language Models by Proxy of Prediction Quality,"['New York University', 'New York University']"
68,Neural Topic Modeling with Large Language Models in the Loop,"['Commonwealth Scientific and Industrial Research Organisation, CSIRO', 'Amazon', 'Monash University', 'Monash University']"
69,HALoGEN: Fantastic LLM Hallucinations and Where to Find Them,"['University of Washington and School of Computer Science, Carnegie Mellon University', 'University of Washington', 'Google', 'Computer Science Department, Stanford University and NVIDIA']"
70,Synergizing LLMs with Global Label Propagation for Multimodal Fake News Detection,"['National University of Singapore', 'Inner Mongolia University']"
71,"“Yes, My LoRD.” Guiding Language Model Extraction with Locality Reinforced Distillation","['The Hong Kong Polytechnic University', 'The Hong Kong University of Science and Technology (Guangzhou)', 'The Hong Kong Polytechnic University', 'Hong Kong Polytechnic University', 'Hong Kong Polytechnic University', 'Hong Kong Baptist University', 'Hong Kong Polytechnic University']"
72,Jailbreak Large Vision-Language Models Through Multi-Modal Linkage,"['University of the Chinese Academy of Sciences', 'Tsinghua University, Tsinghua University']"
73,"Wait, that’s not an option: LLMs Robustness with Incorrect Multiple-Choice Options","['MIM Solutions and University of Warsaw', 'K-Scale Labs and University of Warsaw']"
74,The Hidden Attention of Mamba Models,"['Tel Aviv University', 'Tel Aviv University', 'Tel Aviv University, Tel Aviv University and Tel Aviv University']"
75,KV-Latent: Dimensional-level KV Cache Reduction with Frequency-aware Rotary Positional Embedding,"['Wuhan University', 'Xiaomi Corporation', 'Xiaomi Corporation', 'Shanghai Jiao Tong University']"
76,LEANCODE: Understanding Models Better for Code Simplification of Pre-trained Large Language Models,"['Central University of Finance and Economics', 'university of texas at dallas']"
77,MARS: Benchmarking the Metaphysical Reasoning Abilities of Language Models with a Multi-task Evaluation Dataset,"['The Hong Kong University of Science and Technology', 'Hong Kong University of Science and Technology']"
78,Ask-Before-Detection: Identifying and Mitigating Conformity Bias in LLM-Powered Error Detector for Math Word Problem Solutions,"['Michigan State University', 'Squirrel Ai Learning', 'Squirrel Ai Learning']"
79,Real-time Factuality Assessment from Adversarial Feedback,"['Duke University', 'Duke University']"
80,Improve Vision Language Model Chain-of-thought Reasoning,"['Apple', 'Apple', 'Apple AI/ML', 'OpenAI', 'Apple', 'Apple', 'Apple', 'School of Computer Science, Carnegie Mellon University']"
81,On the Mutual Influence of Gender and Occupation in LLM Representations,"['University of Maryland, College Park', 'University of Maryland, College Park', 'Amazon']"
82,Disentangling Memory and Reasoning Ability in Large Language Models,"['UC Santa Barbara', 'Rutgers University', 'UC Santa Barbara', 'Rutgers University']"
83,Open-World Attribute Mining for E-Commerce Products with Multimodal Self-Correction Instruction Tuning,"['Hohai University', 'Southeast University']"
84,Normalized AOPC: Fixing Misleading Faithfulness Metrics for Feature Attributions Explainability,"['University of Copenhagen', 'Corti', 'Lappeenranta University of Technology and University of Copenhagen', 'Technical University of Denmark', 'University of Copenhagen']"
85,Takin-VC: Expressive Zero-Shot Voice Conversion via Adaptive Hybrid Content Encoding and Enhanced Timbre Modeling,"['University of Hong Kong', 'Ximalaya Inc.', 'Northwest Polytechnical University', 'The University of Tokyo and University of Alberta', 'Kyushu University']"
86,LangSAMP: Language-Script Aware Multilingual Pretraining,"['Ludwig-Maximilians-Universität München', 'Center for Information and Language Processing']"
87,RelationalCoder: Rethinking Complex Tables via Programmatic Relational Transformation,"['Institute of Information Engineering, Chinese Academy of Sciences']"
88,Algorithmic Fidelity of Large Language Models in Generating Synthetic German Public Opinions: A Case Study,"['Ludwig-Maximilians-Universität München', 'Ludwig-Maximilians-Universität München', 'University of Maryland, College Park and Ludwig-Maximilians-Universität München', 'University of Maryland', 'Ludwig-Maximilians-Universität München', 'Ludwig-Maximilians-Universität München']"
89,TUNA: Comprehensive Fine-grained Temporal Understanding Evaluation on Dense Dynamic Videos,"['Kuaishou- 快手科技', 'Kuaishou- 快手科技', 'Northeastern University, China', 'Northeastern University', 'Kuaishou- 快手科技', 'The Hong Kong University of Science and Technology']"
90,Self-Instructed Derived Prompt Generation Meets In-Context Learning: Unlocking New Potential of Black-Box LLMs,"['The Chinese University of Hong Kong, Shenzhen', 'The Chinese University of Hong Kong, Shenzhen', 'Hefei University of Technology', 'Shenzhen Research Institute of Big Data', 'ByteDance Inc.']"
91,Binary Classifier Optimization for Large Language Model Alignment,"['Kakao Corp.', 'Kakao Brain', 'Kakao Brain Corp.', 'LBOX']"
92,UnSeenTimeQA: Time-Sensitive Question-Answering Beyond LLMs’ Memorization,"['Arizona State University', 'Arizona State University', 'Arizona State University', 'New Mexico State University', 'University of Arizona', 'Arizona State University']"
93,From Information to Insight: Leveraging LLMs for Open Aspect-Based Educational Summarization,"['University of Pittsburgh', 'University of Pittsburgh']"
94,"AfriMed-QA: A Pan-African, Multi-Specialty, Medical Question-Answering Benchmark Dataset","['Ohio State University, Columbus', 'Intron Health', 'University of Edinburgh, University of Edinburgh', 'Intron Health', 'University of North Carolina at Chapel Hill', 'Masakhane', 'Google', 'Google', 'Maximus', 'University of Ibadan', 'RISC Software GmbH', 'Georgia Institute of Technology', 'Google DeepMind and Georgia Institute of Technology', 'University of Cape Coast', 'Research, Google']"
95,Root Defense Strategies: Ensuring Safety of LLM at the Decoding Level,['Kuaishou- 快手科技']
96,In-the-wild Audio Spatialization with Flexible Text-guided Localization,"['Nanjing University', 'Nanjing University', 'Nanjing University', 'Nanjing University']"
97,L4Q: Parameter Efficient Quantization-Aware Fine-Tuning on Large Language Models,"['Sungkyunkwan University', 'Seoul National University']"
98,Second Language (Arabic) Acquisition of LLMs via Progressive Vocabulary Expansion,"['Shenzhen Research Institute of Big Data', 'The Chinese University of Hong Kong', 'National Center for AI (NCAI), Saudi Data and AI Authority (SDAIA)', 'King Abdullah University of Science and Technology', 'Tsinghua University', 'SRIBD', 'CNPIEC KEXIN LTD', 'University of Bisha', 'King Abdulaziz University', 'Shenzhen Research Institute of Big Data', 'The Chinese University of Hong Kong', 'The Chinese University of Hong Kong (Shenzhen); National University of Singapore and National University of Singapore', 'The Chinese University of Hong Kong, Shenzhen', 'King Abdullah University of Science and Technology and Pennsylvania State University']"
99,What Really Matters in Many-Shot Attacks? An Empirical Study of Long-Context Vulnerabilities in LLMs,"['Coxwave and Seoul National University', 'KakaoBank', 'Korea Advanced Institute of Science & Technology']"
100,ECERC: Evidence-Cause Attention Network for Multi-Modal Emotion Recognition in Conversation,"['Northeastern University', 'Northeastern University']"
101,CompileAgent: Automated Real-World Repo-Level Compilation with Tool-Integrated LLM-based Agent System,"['Qi’anxin Technology Group Co., Ltd', 'University of Science and Technology of China', 'University of Science and Technology of China', 'University of Science and Technology of China']"
102,Beyond Demographics: Fine-tuning Large Language Models to Predict Individuals’ Subjective Text Perceptions,"['Universität Bielefeld', 'Stanford University', 'Bocconi University', 'University of Michigan - Ann Arbor', 'Bocconi University']"
103,Exploring Forgetting in Large Language Model Pre-Training,"['Tencent Hunyuan', 'Tsinghua University, Tsinghua University and Tsinghua University, Tsinghua University']"
104,Bias in the Mirror : Are LLMs opinions robust to their own adversarial attacks,"['National Technical University of Athens and École Polytechnique', 'Ecole Polytechnique, France']"
105,AndroidLab: Training and Systematic Benchmarking of Android Autonomous Agents,"['Tsinghua University, Tsinghua University', 'Tsinghua University, Tsinghua University', 'Tsinghua University']"
106,Modular Sentence Encoders: Separating Language Specialization from Cross-Lingual Alignment,"['Technische Universität Darmstadt', 'Ubiquitous Knowledge Processing Lab, Technical University of Darmstadt', 'Julius-Maximilians-Universität Würzburg', 'Institute for Computer Science, Artificial Intelligence and Technology, Mohamed bin Zayed University of Artificial Intelligence and Technische Universität Darmstadt']"
107,Multimodal Transformers are Hierarchical Modal-wise Heterogeneous Graphs,"['Shanghai University', 'Shanghai University', 'Shanghai University']"
108,Have We Designed Generalizable Structural Knowledge Promptings? Systematic Evaluation and Rethinking,"['Zhejiang University', 'Tianjin University', 'College of Computer Science and Technology, Zhejiang University', 'Ant Group', 'Ant Group', 'Zhejiang University', 'Zhejiang University']"
109,"LLäMmlein: Transparent, Compact and Competitive German-Only Language Models from Scratch","['Julius-Maximilians-Universität Würzburg', 'Bayerische Julius-Maximilians-Universität Würzburg', 'Bayerische Julius-Maximilians-Universität Würzburg']"
110,Speaking Beyond Language: A Large-Scale Multimodal Dataset for Learning Nonverbal Cues from Video-Grounded Dialogues,"['Yonsei University', 'Yonsei University', 'Yonsei University and Yonsei University', 'Yonsei University', 'Yonsei University']"
111,How Much Do Encoder Models Know About Word Senses?,"['University of Roma “La Sapienza”', 'Sapienza University of Rome']"
112,When Backdoors Speak: Understanding LLM Backdoor Attacks Through Model-Generated Explanations,"['Nanyang Technological University', 'Meta AI', 'Rutgers University', 'Rutgers University']"
113,HateDay: Insights from a Global Hate Speech Dataset Representative of a Day on Twitter,"['Oxford Internet Institute, University of Oxford', 'Meedan, University of Oxford and Alan Turing Institute', 'World Bank', 'Bocconi University']"
114,LegalAgentBench: Evaluating LLM Agents in Legal Domain,"['Tsinghua University', 'Beijing Knowledge Atlas Technology Co., Ltd.', 'Tsinghua University', 'Shanghai Amarsoft Enterprise Credit Information Service Co.,Ltd', ', Tsinghua University', 'Haidian Urban Renewal Group', 'Tsinghua University']"
115,Inference Compute-Optimal Video Vision Language Models,"['Facebook', 'University of California, Davis', 'Meta AI']"
116,Steering into New Embedding Spaces: Analyzing Cross-Lingual Alignment Induced by Model Interventions in Multilingual Language Models,"['Apple', 'Apple', 'Apple', 'Apple', 'Apple']"
117,Digital Gatekeepers: Google’s Role in Curating Hashtags and Subreddits,"['University of Notre Dame', 'University of Notre Dame', 'Technische Universität München']"
118,Behind Closed Words: Creating and Investigating the forePLay Annotated Dataset for Polish Erotic Discourse,"['NASK - National Research Institute', 'NASK - National Research Institute']"
119,Assessment and manipulation of latent constructs in pre-trained language models using psychometric scales,"['Ben Gurion University of the Negev', 'Sami Shamoon College of Engineering', 'Ben Gurion University of the Negev', 'Ben Gurion University of the Negev']"
120,Did Translation Models Get More Robust Without Anyone Even Noticing?,"['Instituto de Telecomunicações, Portugal and Instituto Superior Técnico', 'Instituto Superior Técnico and Unbabel']"
121,Nemotron-CC: Transforming Common Crawl into a Refined Long-Horizon Pretraining Dataset,"['NVIDIA', 'University of Maryland, College Park', 'NVIDIA', 'NVIDIA', 'Microsoft', 'NVIDIA', 'NVIDIA', 'NVIDIA', 'NVIDIA']"
122,Hierarchical Level-Wise News Article Clustering via Multilingual Matryoshka Embeddings,['Stanford University']
123,Contrastive Perplexity for Controlled Generation: An Application in Detoxifying Large Language Models,"['SAP SE', 'Apple Inc.']"
124,INVESTORBENCH: A Benchmark for Financial Decision-Making Tasks with LLM-based Agent,"['Stevens Institute of Technology', 'Accenture', 'Columbia University', 'University of Hawaii at Manoa', 'Stevens Institute of Technology', 'Stevens Institute of Technology', 'The Fin AI', 'Yale University', 'Yale University']"
125,"Smarter, Better, Faster, Longer: A Modern Bidirectional Encoder for Fast, Memory Efficient, and Long Context Finetuning and Inference","['AnswerDotAI', 'LightOn', 'Answer.AI', 'LightOn', 'LightOn', 'Answer.AI', 'AnswerAi', 'NVIDIA', 'Hugging Face', 'Answer.AI', 'LightOn']"
126,Gender Inclusivity Fairness Index (GIFI): A Multilevel Framework for Evaluating Gender Diversity in Large Language Models,"['CMU, Carnegie Mellon University', 'State University of New York at Stony Brook']"
127,D.Va: Validate Your Demonstration First Before You Use It,"['Zhejiang University', 'Zhejiang University']"
128,Are Any-to-Any Models More Consistent Across Modality Transfers Than Specialists?,"['Yonsei University', 'Yonsei University', 'Yonsei University']"
129,MAIN-RAG: Multi-Agent Filtering Retrieval-Augmented Generation,"['Texas A&M University - College Station', 'Google', 'VISA', 'Visa Research', 'VISA', 'Worcester Polytechnic Institute', 'VISA', 'University of Houston']"
130,Unraveling the Mechanics of Learning-Based Demonstration Selection for In-Context Learning,"['Nanyang Technological University', 'City University of Hong Kong', 'NVIDIA', 'City University of Hong Kong']"
131,Direct Prompt Optimization with Continuous Representations,"['University of California, San Diego', 'University of California, San Diego']"
132,uMedSum: A Unified Framework for Clinical Abstractive Summarization,"['Industry', 'ASUS', 'Imperial College London and University of Manchester', 'Computer Science Department, Stanford University', 'Nanyang Technological University', 'ASUS', 'National University of Singapore']"
133,"GigaSpeech 2: An Evolving, Large-Scale and Multi-domain ASR Corpus for Low-Resource Languages with Automated Crawling, Transcription and Refinement","['Shanghai Jiaotong University', 'Chinese University of Hong Kong', 'AISpeech Ltd', 'Shanghai Jiao Tong University', 'Tsinghua University']"
134,Context-Aware Sentiment Forecasting via LLM-based Multi-Perspective Role-Playing Agents,"['Tsinghua University', 'University of California, Irvine', 'Tsinghua University']"
135,TARGA: Targeted Synthetic Data Generation for Practical Reasoning over Structured Data,"['Nanjing University', 'nanjing university', 'Nanjing University']"
136,AndroidGen: Building an Android Language Agent under Data Scarcity,"['Tsinghua University, Tsinghua University', 'Tsinghua University', 'Tsinghua University, Tsinghua University']"
137,"Prompt Candidates, then Distill: A Teacher-Student Framework for LLM-driven Data Annotation","['Zhejiang University', 'Zhejiang University', 'University of Wisconsin, Madison, Stanford University, Facebook AI, Google AI and Cornell University', 'William & Mary', 'Zhejiang University', 'NetEase Corp']"
138,A Survey of Post-Training Scaling in Large Language Models,"['Tsinghua University', 'Tsinghua University, Tsinghua University', 'Beijing University of Posts and Telecommunications', 'Zhipu AI', 'Tsinghua University', 'Tsinghua University, Tsinghua University']"
139,Position-aware Automatic Circuit Discovery,"['Technion - Israel Institute of Technology, Technion', 'Computer Science Department, Technion - Israel Institute of Technology', 'Northeastern University', 'Northeastern University and Technion - Israel Institute of Technology', 'Technion, Technion']"
140,HyperFM: Fact-Centric Multimodal Fusion for Link Prediction over Hyper-Relational Knowledge Graphs,['University of Macau']
141,Centurio: On Drivers of Multilingual Ability of Large Vision-Language Model,"['Bayerische Julius-Maximilians-Universität Würzburg', 'Universität Hamburg', 'U Hamburg', 'Bayerische Julius-Maximilians-Universität Würzburg', 'Universität Hamburg', 'Julius-Maximilians-Universität Würzburg']"
142,Less for More: Enhanced Feedback-aligned Mixed LLMs for Molecule Caption Generation and Fine-Grained NLI Evaluation,"['Queen Mary University of London', 'Queen Mary University London']"
143,Ensemble Watermarks for Large Language Models,"['Technische Universität Graz', 'Know Center GmbH and Technische Universität Graz']"
144,Con Instruction: Universal Jailbreaking of Multimodal Large Language Models via Non-Textual Modalities,"['Mohamed bin Zayed University of Artificial Intelligence', 'Institute for Computer Science, Artificial Intelligence and Technology, Mohamed bin Zayed University of Artificial Intelligence and Technische Universität Darmstadt']"
145,TRACT: Regression-Aware Fine-tuning Meets Chain-of-Thought Reasoning for LLM-as-a-Judge,"['National Taiwan University', 'Google Research']"
