,affiliation,country
247,"Eastern Institute of Technology, Ningbo","[New Zealand, China]"
248,Eberhard-Karls-Universität Tübingen,[Germany]
249,Ecole Normale Supérieure – PSL,[France]
250,"Edinburgh University, University of Edinburgh",[United Kingdom]
251,"Edinburgh University, University of Edinburgh and Department of Computer Science and Engineering, Hong Kong University of Science and Technology","[United Kingdom, Hong Kong]"
252,Ehime University,[Japan]
253,Electronics and Telecommunications Research Institute,[South Korea]
254,Emory University,[United States]
255,Ernst-Moritz-Arndt Universität Greifswald,[Germany]
256,European Commission,[Belgium]
257,Ewha Women’s University,[South Korea]
258,Ewha Women’s University and Palo Alto Research Center,"[South Korea, United States]"
259,FAIR,[Germany]
260,FAIR (Meta Platforms Inc.),[United States]
261,FAIR at Meta,[United States]
262,Facebook,[United States]
263,Facebook AI Research,[United States]
264,Facebook and New York University,[United States]
265,Faculty of Engineering of the University of Porto,[Portugal]
266,"FiT, Tencent","[Finland, China]"
267,Flipkart,[India]
268,Flipkart Group,[India]
269,Florida International University,[United States]
270,Florida State University,[United States]
271,Fondazione Bruno Kessler,[Italy]
272,Fortemedia,"[United States, Taiwan]"
273,Franklin and Marshall College,[United States]
274,Fraunhofer FOKUS,[Germany]
275,Fraunhofer HHI,[Germany]
276,Fraunhofer HHI and Technische Universität Berlin,[Germany]
277,"Fraunhofer HHI, Fraunhofer IAIS",[Germany]
278,"Fraunhofer Institute IAIS, Fraunhofer IAIS",[Germany]
279,"Fraunhofer Institute IAIS, Fraunhofer IAIS and Hochschule Bonn-Rhein-Sieg",[Germany]
280,Fudan University,[China]
281,Fujitsu Research and Development Center Co. Ltm.,[China]
282,Fujitsu Research of Europe Limited,[United Kingdom]
283,GESIS – Leibniz Institute for the Social Sciences,[Germany]
284,Georg-August Universität Göttingen,[Germany]
285,George Mason University,[United States]
286,Georgetown University,[United States]
287,Georgia Institute of Technology,[United States]
288,Georgia Institute of Technology and Facebook,[United States]
289,Georgia State University,[United States]
290,Georgia Tech Research Institute and Georgia Institute of Technology,[United States]
291,German Research Center for AI,[Germany]
292,Ghent University,[Belgium]
293,Google,[United States]
294,Google DeepMind,[United Kingdom]
295,Google DeepMind and DeepMind,[United Kingdom]
296,Google DeepMind and University of Cambridge,[United Kingdom]
297,Google Deepmind,[United Kingdom]
298,Google and Korea Advanced Institute of Science and Technology,"[United States, South Korea]"
299,Google and Microsoft,[United States]
300,Google and Pohang University of Science and Technology,"[United States, South Korea]"
301,Google and The University of Melbourne,"[United States, Australia]"
302,Google and The University of Texas at Austin,[United States]
303,Google and University College London,"[United States, United Kingdom]"
304,"Google, INRIA and Inria","[United States, France]"
305,Great Bay University,[China]
306,"Guangdong OPPO Mobile Telecommunications Corp.,Ltd.",China
307,Guangdong Polytechnic Normal University,[China]
308,Guangdong University of Foreign Studies,[China]
309,Guangdong University of Technology,[China]
310,Guangming Laboratory,[China]
311,Guangxi Arts University,[China]
312,Guangxi University,[China]
313,Guangxi Zhuang Autonomous Region Big Data Research Institute,[China]
314,Gwangju Institute of Science and Technology,[South Korea]
315,Hamad Bin Khalifa University,[Qatar]
316,Hangzhou Dianzi University,[China]
317,"Hangzhou VIVO Information Technology Co., Ltd",[China]
318,Hanoi University of Science and Technology,[Vietnam]
319,Hanyang University,[South Korea]
320,"Harbin Insitute of Technology, Shenzhen",[China]
321,Harbin Institute Of Technology,[China]
322,Harbin Institute of Technology,[China]
323,Harbin Institute of Technology (Shenzhen),[China]
324,Harbin Institute of Technology (Shenzhen) and Shandong University,[China]
325,"Harbin Institute of Technology (Shenzhen), China",[China]
326,"Harbin Institute of Technology, Shenzhen",[China]
327,"Harbin Institute of Technology, Shenzhen (HITSZ)",[China]
328,"Harbin Institute of Technology,Shenzhen",[China]
329,Harbin Institute of Techology,[China]
330,Harbin institute of technology,[China]
331,Harvard University,[United States]
332,Hasso Plattner Institute and University of Potsdam,[Germany]
333,Hebei University of Technology,[China]
334,Hebrew University of Jerusalem,[Israel]
335,Hebrew University of Jerusalem and Google,"[Israel, United States]"
336,Hebrew University of Jerusalem and Meta,"[Israel, United States]"
337,"Hebrew University, Hebrew University of Jerusalem and Allen Institute for Artificial Intelligence","[Israel, United States]"
338,"Hefei Institute of Physical Sciences, Chinese Academy of Sciences",[China]
339,Hefei University,[China]
340,Hefei University of Technology,[China]
341,Henan Univeristy,[China]
342,Higher School of Economics,[Russia]
343,Higher School of Economics and Artificial Intelligence Research Institute,[Russia]
344,Higher School of Economics and Higher School of Economics,[Russia]
345,"Higher School of Economics, Higher School of Economics and Artificial Intelligence Research Institute",[Russia]
346,Hippocratic AI,[United States]
347,HippocraticAI,[United States]
348,Hippocraticai AI,[United States]
349,Hishab technologies,[Bangladesh]
350,"Hithink RoyalFlush Information Network Co., Ltd.",[China]
351,Hochschule München,[Germany]
352,Hochschule der Medien (University of Applied Sciences),[Germany]
353,Hohai University,[China]
354,Honda Research Institute USA,[United States]
355,"Honeywell and Indian Institute of Technology, Hyderabad, Dhirubhai Ambani Institute Of Information and Communication Technology","[United States, India]"
356,Hong Kong Baptist University,[China]
357,Hong Kong Polytechnic University,[China]
358,Hong Kong University of Science and Technology,[Hong Kong]
359,Hong Kong University of Science and Technology (Guangzhou),[China]
360,Hong Kong University of Science and Technology (Guangzhou) and Hong Kong University of Science and Technology,"[China, Hong Kong]"
361,Hong Kong University of Science and Technology and Imperial College London,"[China, United Kingdom]"
362,Houmo,[China]
363,Huawei,[China]
364,Huawei Noah’s Ark Lab,[China]
365,"Huawei Technologies Canada Co., Ltd.",[Canada]
366,Huawei Technologies Ltd.,[China]
367,Huazhong University of Science and Technology,[China]
368,Hubei Optics Valley Laboratory,[China]
369,Hungarian Research Centre for Linguistics,[Hungary]
370,"Hungarian Research Centre for Linguistics, Pazmany Peter Catholic University and MorphoLogic",[Hungary]
371,I2R,[Singapore]
372,IBM India Pvt Ltd,[India]
373,IBM Research AI,[United States]
374,IBMEC,[Brazil]
375,IFLYTEK CO.LTD.,[China]
376,IIE,[Mexico]
377,IIIT Hyderabad,[India]
378,IIT Kanpur,[India]
379,IIT Kharagpur,[India]
380,INF,[Italy]
381,INRIA,[France]
382,INTSIG Information,[China]
383,IRIT,[France]
384,"ISIR, Sorbonne Université & CNRS",[France]
385,IT University of Copenhagen,[Denmark]
386,ITMO University,[Russia]
387,Idiap Research Institute,[Switzerland]
388,Idiap Research Institute and University of Manchester,"[Switzerland, United Kingdom]"
389,Imperial College London,[United Kingdom]
390,Independent,[]
391,Independent Researcher,[Not applicable]
392,"Indian Institute of Management, Ahmedabad, Indian Institute of Technology, Madras, Dhirubhai Ambani Institute Of Information and Communication Technology and Indian Institute of Science, Bangalore",[India]
393,Indian Institute of Technology Bombay,[India]
394,"Indian Institute of Technology Bombay, Indian Institute of Technology, Bombay",[India]
395,Indian Institute of Technology Kharagpur,[India]
396,"Indian Institute of Technology Kharagpur,",[India]
397,"Indian Institute of Technology Patna, India",[India]
398,"Indian Institute of Technology, Bombay, Dhirubhai Ambani Institute Of Information and Communication Technology",[India]
399,"Indian Institute of Technology, Delhi",[India]
400,"Indian Institute of Technology, Hyderabad,",[India]
401,"Indian Institute of Technology, Jodhpur",[India]
402,"Indian Institute of Technology, Kanpur, Dhirubhai Ambani Institute Of Information and Communication Technology",[India]
403,"Indian Institute of Technology, Kharagpur",[India]
404,"Indian Institute of Technology, Patna",[India]
405,Indiana University,[United States]
406,"Indraprastha Institute of Information Technology, Delhi",[India]
407,Inf Tech,[India]
408,Infly Technology,[India]
409,"Information Sciences Institute, University of Southern California",[United States]
410,"Information Sciences Institute, University of Southern California, University of Southern California, University of Southern California and Amazon Alexa",[United States]
411,Inftech,[India]
412,Inner Mongolia University,[China]
413,Inria,[France]
414,"Inspur Genersoft Co., Ltd.",[China]
415,"Inspur Group Co, Ltd",[China]
416,Institut de recherche en informatique de toulouse,[France]
417,Institut du développement et des ressources en informatique scientifique (IDRIS),[France]
418,"Institute for AI in Medicine (IKIM), University Medicine Essen",[Germany]
419,Institute for Advanced Algorithms Research,[United States]
420,"Institute for Advanced Algorithms Research, Shanghai",[China]
421,"Institute for Advanced Algorithms Research,Shanghai",[China]
422,"Institute for Computational Linguistics “A. Zampolli” (CNR-ILC), Pisa",[Italy]
423,"Institute for Computer Science, Artificial Intelligence and Technology",[China]
424,"Institute for Computer Science, Artificial Intelligence and Technology, Mohamed bin Zayed University of Artificial Intelligence and Technische Universität Darmstadt","[China, United Arab Emirates, Germany]"
425,"Institute for Infocomm Research, A*STAR",[Singapore]
426,"Institute of Artificial Intelligence, Hefei Comprehensive National Science Center",[China]
427,"Institute of Automation of,Chinese Academy of Sciences",[China]
428,"Institute of Automation, Chinese Academy of Sciences",[China]
429,"Institute of Cognitive Science, Osnabrück University, Universität Osnabrück",[Germany]
430,"Institute of Computing Technolgy, Chinese Academy of Sciences",[China]
431,"Institute of Computing Technology, Chinese Academy",[China]
432,"Institute of Computing Technology, Chinese Academy of Sciences",[China]
433,"Institute of Computing Technology, Chinese Academy of Sciences, China",[China]
434,"Institute of High Performance Computing, Singapore, A*STAR",[Singapore]
435,Institute of Information Engeering,China
436,Institute of Information Engineering,[China]
437,"Institute of Information Engineering, Chinese Academy of Sciences",[China]
438,"Institute of Information Engineering, Chinese Academy of Sciences and University of Chinese Academy of Sciences",[China]
439,Institute of Information Engineering.CAS,[China]
440,"Institute of Intelligent Machines,Chinese Academy Of Sciences",[China]
441,Institute of Science Tokyo,[Japan]
442,"Institute of Science Tokyo and Tokyo Institute of Technology, Tokyo Institute of Technology",[Japan]
443,Institute of Software CAS>,[China]
444,Institute of Software Chinese Academy of Sciences,[China]
445,"Institute of Software, CAS",[China]
446,"Institute of Software, Chinese Academy of Sciences",[China]
447,"Institute of Software, Chinese Academy of Sciences and University of Chinese Academy of Sciences",[China]
448,Institute of Systems Engineering,[Germany]
449,"Institute of automation, Chinese Academy of Sciences",[China]
450,"Institute of automation, Chinese academy of science",[China]
451,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences",[China]
452,Instituto Superior Técnico,[Portugal]
453,Intel,[United States]
454,Intel AI Research,[United States]
455,IntelliproGroup Inc.,"[United States, China]"
456,"Interchange Forum for Reflecting on Intelligent Systems, University of Stuttgart",[Germany]
457,International Business Machines,[United States]
458,International Digital Economy Academy,[China]
459,International Digital Economy Academy (IDEA),[China]
460,"International Digital Economy Academy, International Digital Economy Academy",[China]
461,International Institute of Information Technology Hyderabad,[India]
462,"International Institute of Information Technology Hyderabad, India",[India]
463,Intuit,[United States]
464,Intuit AI Research,United States
465,Inworld AI,[United States]
466,Iowa State University,[United States]
467,"Iran University of Science and Technology Tehran, University of Tehran",[Iran]
468,Istituto di Linguistica Computazionale “A. Zampolli” (ILC),[Italy]
469,J.P. Morgan Chase,[United States]
470,JD.com,[China]
471,JPMorgan Chase and Co,[United States]
472,"Jarvis Research Center, Tencent YouTu Lab","[United States, China]"
473,Jiangxi University of Finance and Economics,[China]
474,Jilin University,[China]
475,"Jilin University, China",[China]
476,Johann Wolfgang Goethe Universität Frankfurt am Main,[Germany]
477,Johannes Kepler Universität Linz,[Austria]
478,"Johannes-Gutenberg Universität Mainz, Johannes-Gutenberg Universität Mainz, University of Colorado, Boulder and New York University","[Germany, United States]"
479,Johns Hopkins University,[United States]
480,Johns Hopkins University and Shanghai Jiao Tong University,"[United States, China]"
481,"Johns Hopkins University and Tsinghua University, Tsinghua University","[United States, China]"
482,"Johns Hopkins University, California Institute of Technology and University of Illinois, Chicago",[United States]
483,Julius-Maximilians-Universität Würzburg,[Germany]
484,KAIST,[South Korea]
485,"KAIST, Korea Advanced Institute of Science & Technology",[South Korea]
486,KAUST,[Saudi Arabia]
487,KENTECH,[South Korea]
488,KRAFTON and Korea Advanced Institute of Science and Technology,[South Korea]
489,KU Leuven,[Belgium]
490,"KU Leuven, KU Leuven",[Belgium]
491,Kansas State University,[United States]
492,Karlsruher Institut für Technologie,[Germany]
493,Kazan Federal University,[Russia]
494,Kellogg Community College,[United States]
495,Kempelen Institute of Intelligent Technologies,[Slovakia]
496,Kensho,[United States]
497,Khajeh Nasir Toosi University of Technology,[Iran]
498,"Khalifa University of Science, Technology and Research",[United Arab Emirates]
499,Kim & Chang,[South Korea]
500,King Abdullah University of Science and Technology,[Saudi Arabia]
501,King Abdullah University of Science and Technology and Hong Kong University of Science and Technology,"[Saudi Arabia, China]"
502,King Fahad University of Petroleum and Minerals,[Saudi Arabia]
503,King Saud University,[Saudi Arabia]
504,King’s College London,[United Kingdom]
505,"King’s College London, University of London",[United Kingdom]
506,Konkuk University,[South Korea]
507,Korea Advanced Institute of Science & Technology,[South Korea]
508,"Korea Advanced Institute of Science & Technology, Korea Advanced Institute of Science & Technology and Korea Advanced Institute of Science and Technology",[South Korea]
509,Korea Advanced Institute of Science and Technology,[South Korea]
510,Korea Advanced Institute of Science and Technology and AITRICS,[South Korea]
511,Korea Telecom Research,[South Korea]
512,Korea University,[South Korea]
513,Kuaishou Technology,China
514,Kuaishou- 快手科技,[China]
515,Kumo.AI,[United States]
516,Kunming University of Science and Technology,[China]
517,Kyoto University,[Japan]
518,"Kyoto University, Kyoto University",[Japan]
519,Kyung Hee University,[South Korea]
520,Kyungpook National University,[South Korea]
521,L3S Research Center,[Germany]
522,L3S Research Center Hannover,[Germany]
523,LG Corporation,[South Korea]
524,LGCNS,[South Korea]
525,LIGHTSPEED,[France]
526,LINE Corporation,[Japan]
527,LIS - Laboratoire d’Informatique et Systèmes and AMU - Aix Marseille University,[France]
528,LY Corporation and Yokohama National University,[Japan]
529,La Trobe University,[Australia]
530,"Langsmith Inc., Tohoku University and Machine Learning Solutions","[Japan, Japan, United States]"
531,Lawrence Livermore National Laboratory,[United States]
532,Leibniz Universität Hannover,[Germany]
533,Leiden University,[Netherlands]
534,Lelapa AI,[South Africa]
535,LinkedIn,[United States]
536,Linköping University,[Sweden]
537,Lion Rock AI Lab,[Hong Kong]
538,Ludwig-Maximilians-Universität München,[Germany]
539,Ludwig-Maximilians-Universität München and Hochschule München,[Germany]
540,MBZUAI,[United Arab Emirates]
541,"MBZUAI, RIKEN and Tohoku University","[United Arab Emirates, Japan]"
542,Maastricht University,[Netherlands]
543,Macau University of Science and Technology,[China]
544,Macquarie University,[Australia]
545,Mahidol University,[Thailand]
546,Mahidol University and Mahidol University,[Thailand]
547,"Massachusetts General Hospital, Harvard University",[United States]
548,Massachusetts Institute of Technology,[United States]
549,Massachusetts Institute of Technology and International Business Machines,[United States]
550,Massachusetts Institute of Technology and Verily Life Science,[United States]
551,Maum.ai,[South Korea]
552,Max Planck Institute for Software Systems,[Germany]
553,Max-Planck Institute,[Germany]
554,Max-Planck Institute for Informatics and Max Planck Institute,[Germany]
555,Mayo Clinic,[United States]
556,Mayo Clinic and UIUC,[United States]
557,McGill University,[Canada]
558,McGill University and Mila - Quebec Artificial Intelligence Institute,[Canada]
559,"McGill University and Montreal Institute for Learning Algorithms, University of Montreal, University of Montreal",[Canada]
560,"McGill University, Mila Research Institute and Microsoft","[Canada, United States]"
561,MediaTek Research,[Taiwan]
562,Meedan,[United States]
563,"Meedan, University of Oxford and Alan Turing Institute","[United States, United Kingdom]"
564,Meetyou AI Lab and Qufu Normal University,[China]
565,Megagon Labs,[United States]
566,"Megagon Labs, Megagon Labs and Carnegie Mellon University",[United States]
567,Meiji University,[Japan]
568,Meituan,[China]
569,Meta,[United States]
570,Meta AI,[United States]
571,Meta Fundamental Artificial Intelligence Research (FAIR),"[United States, France]"
572,Meta Platform,[United States]
573,Miami University,[United States]
574,Michigan State University,[United States]
575,Microsoft,[United States]
576,Microsoft AI Asia,[China]
577,Microsoft Research,"[United States, United Kingdom, India, China, Canada]"
578,Microsoft Research Asia,[China]
579,Microsoft Research and Microsoft,[United States]
580,Microsoft and Carnegie Mellon University,[United States]
581,Microsoft and EPFL - EPF Lausanne,"[United States, Switzerland]"
582,"Microsoft and Indian Institute of Technology, Madras","[United States, India]"
583,Microsoft and Johns Hopkins University,[United States]
584,Microsoft and University of Texas at Austin,[United States]
585,"Microsoft, USA",[United States]
586,Middlebury College,[United States]
587,Mila - Quebec AI Institute,[Canada]
588,Mila - Quebec Artificial Intelligence Institute,[Canada]
589,ModelBest Inc.,[South Korea]
590,Mohamed bin Zayed University of Artificial Intelligence,[United Arab Emirates]
591,Mohamed bin Zayed University of Artificial Intelligence and Australian National University,"[United Arab Emirates, Australia]"
592,Mohamed bin Zayed University of Artificial Intelligence and Linköping University,"[United Arab Emirates, Sweden]"
593,"Mohamed bin Zayed University of Artificial Intelligence and Northwestern Polytechnical University, Northwest Polytechnical University Xi’an","[United Arab Emirates, China]"
594,Mohamed bin Zayed University of Artificial Intelligence and The University of Manchester,"[United Arab Emirates, United Kingdom]"
595,Mohamed bin Zayed University of Artificial Intelligence and The University of Melbourne,"[United Arab Emirates, Australia]"
596,"Mohamed bin Zayed University of Artificial Intelligence and Tokyo Institute of Technology, Tokyo Institute of Technology","[United Arab Emirates, Japan]"
597,Monash University,[Australia]
598,Monash University and Boston University,"[Australia, United States]"
