,affiliation
175,City University of Hong Kong and Xi’an Jiaotong University
176,Cohere
177,Cohere and Cohere
178,"College of Computer Science and Technology, Zhejiang University"
179,"College of Computing, Georgia Institute of Technology"
180,College of William and Mary
181,Columbia University
182,Columbia University and Columbia University
183,Columbia University and Google
184,Comenius University in Bratislava
185,Common Crawl Foundation
186,"Computer Network Information Center, Chinese Academy of Sciences,"
187,"Computer Science Department, Stanford University"
188,Convin
189,Copenhagen University
190,Copenhagen University and University of Copenhagen
191,Cornell University
192,Coxwave and Seoul National University
193,"Curtin University of Technology and BRAC University, Bangladesh"
194,CyberAgent AI Lab
195,"CyberAgent, Inc."
196,DISI - University of Bologna
197,Dalhousie University
198,Dalian University of Technology
199,Dartmouth College
200,"Data Science & Innovation, NatWest Group"
201,DataCanvas
202,Datadog and Carnegie Mellon University
203,Dataminr
204,Dataminr Inc.
205,Deakin University
206,DeepMind
207,DeepSeek
208,DeepWisdom
209,Deepmind Google
210,Deezer
211,"Defense Innovation Institute, Academy of Military Sciences (AMS) and Tianjin Artificial Intelligence Innovation Center (TAIIC), Tianjin, 300450, China"
212,Delft University of Technology
213,Department of Computer Science
214,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology"
215,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology and Huawei Noah’s Ark Lab"
216,"Department of Computer Science and Engineering, The Chinese University of Hong Kong"
217,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology"
218,Department of Computer Science and Technology (Formerly Computer Laboratory)
219,"Department of Computer Science and Technology, Tsinghua University"
220,"Department of Computer Science, Columbia University and Department of Computer Science, University of Toronto"
221,"Department of Computer Science, Duke University"
222,"Department of Computer Science, ETHZ - ETH Zurich"
223,"Department of Computer Science, Indian Institute of Technology, Madras, Indian Institute of Technology, Madras and National Institute of Information and Communications Technology (NICT), National Institute of Advanced Industrial Science and Technology"
224,"Department of Computer Science, The University of Hong Kong"
225,"Department of Computer Science, University of British Columbia"
226,"Department of Computer Science, University of Maryland, College Park"
227,"Department of Computer Science, University of Massachusetts at Amherst"
228,"Department of Computer Science, University of North Carolina at Chapel Hill"
229,"Department of Computer Science, University of Toronto"
230,"Department of Computer Science, University of Washington"
231,"Department of Computer Science, Viterbi School of Engineering"
232,"Department of Computer Science, Whiting School of Engineering"
233,"Department of Mechanical and Industrial Engineering, University of Toronto and Department of Computer Science"
234,"Dept. of Informatics, University of Oslo"
235,Dialpad Inc.
236,Dolby Labs.
237,"Donghua University, Shanghai"
238,Drexel University
239,Dublin City University
240,Dublin City University and University of Aberdeen
241,Duke University
242,E.ON Grid Solutions
243,EPFL - EPF Lausanne
244,ETHZ - ETH Zurich
245,East China Normal University
246,East China University of Science and Technology
247,"Eastern Institute of Technology, Ningbo"
248,Eberhard-Karls-Universität Tübingen
249,Ecole Normale Supérieure – PSL
250,"Edinburgh University, University of Edinburgh"
251,"Edinburgh University, University of Edinburgh and Department of Computer Science and Engineering, Hong Kong University of Science and Technology"
252,Ehime University
253,Electronics and Telecommunications Research Institute
254,Emory University
255,Ernst-Moritz-Arndt Universität Greifswald
256,European Commission
257,Ewha Women’s University
258,Ewha Women’s University and Palo Alto Research Center
259,FAIR
260,FAIR (Meta Platforms Inc.)
261,FAIR at Meta
262,Facebook
263,Facebook AI Research
264,Facebook and New York University
265,Faculty of Engineering of the University of Porto
266,"FiT, Tencent"
267,Flipkart
268,Flipkart Group
269,Florida International University
270,Florida State University
271,Fondazione Bruno Kessler
272,Fortemedia
273,Franklin and Marshall College
274,Fraunhofer FOKUS
275,Fraunhofer HHI
276,Fraunhofer HHI and Technische Universität Berlin
277,"Fraunhofer HHI, Fraunhofer IAIS"
278,"Fraunhofer Institute IAIS, Fraunhofer IAIS"
279,"Fraunhofer Institute IAIS, Fraunhofer IAIS and Hochschule Bonn-Rhein-Sieg"
280,Fudan University
281,Fujitsu Research and Development Center Co. Ltm.
282,Fujitsu Research of Europe Limited
283,GESIS – Leibniz Institute for the Social Sciences
284,Georg-August Universität Göttingen
285,George Mason University
286,Georgetown University
287,Georgia Institute of Technology
288,Georgia Institute of Technology and Facebook
289,Georgia State University
290,Georgia Tech Research Institute and Georgia Institute of Technology
291,German Research Center for AI
292,Ghent University
293,Google
294,Google DeepMind
295,Google DeepMind and DeepMind
296,Google DeepMind and University of Cambridge
297,Google Deepmind
298,Google and Korea Advanced Institute of Science and Technology
299,Google and Microsoft
300,Google and Pohang University of Science and Technology
301,Google and The University of Melbourne
302,Google and The University of Texas at Austin
303,Google and University College London
304,"Google, INRIA and Inria"
305,Great Bay University
306,"Guangdong OPPO Mobile Telecommunications Corp.,Ltd."
307,Guangdong Polytechnic Normal University
308,Guangdong University of Foreign Studies
309,Guangdong University of Technology
310,Guangming Laboratory
311,Guangxi Arts University
312,Guangxi University
313,Guangxi Zhuang Autonomous Region Big Data Research Institute
314,Gwangju Institute of Science and Technology
315,Hamad Bin Khalifa University
316,Hangzhou Dianzi University
317,"Hangzhou VIVO Information Technology Co., Ltd"
318,Hanoi University of Science and Technology
319,Hanyang University
320,"Harbin Insitute of Technology, Shenzhen"
321,Harbin Institute Of Technology
322,Harbin Institute of Technology
323,Harbin Institute of Technology (Shenzhen)
324,Harbin Institute of Technology (Shenzhen) and Shandong University
325,"Harbin Institute of Technology (Shenzhen), China"
326,"Harbin Institute of Technology, Shenzhen"
327,"Harbin Institute of Technology, Shenzhen (HITSZ)"
328,"Harbin Institute of Technology,Shenzhen"
329,Harbin Institute of Techology
330,Harbin institute of technology
331,Harvard University
332,Hasso Plattner Institute and University of Potsdam
333,Hebei University of Technology
334,Hebrew University of Jerusalem
335,Hebrew University of Jerusalem and Google
336,Hebrew University of Jerusalem and Meta
337,"Hebrew University, Hebrew University of Jerusalem and Allen Institute for Artificial Intelligence"
338,"Hefei Institute of Physical Sciences, Chinese Academy of Sciences"
339,Hefei University
340,Hefei University of Technology
341,Henan Univeristy
342,Higher School of Economics
343,Higher School of Economics and Artificial Intelligence Research Institute
344,Higher School of Economics and Higher School of Economics
345,"Higher School of Economics, Higher School of Economics and Artificial Intelligence Research Institute"
346,Hippocratic AI
347,HippocraticAI
348,Hippocraticai AI
349,Hishab technologies
350,"Hithink RoyalFlush Information Network Co., Ltd."
351,Hochschule München
352,Hochschule der Medien (University of Applied Sciences)
353,Hohai University
354,Honda Research Institute USA
355,"Honeywell and Indian Institute of Technology, Hyderabad, Dhirubhai Ambani Institute Of Information and Communication Technology"
356,Hong Kong Baptist University
357,Hong Kong Polytechnic University
358,Hong Kong University of Science and Technology
359,Hong Kong University of Science and Technology (Guangzhou)
360,Hong Kong University of Science and Technology (Guangzhou) and Hong Kong University of Science and Technology
361,Hong Kong University of Science and Technology and Imperial College London
362,Houmo
363,Huawei
364,Huawei Noah’s Ark Lab
365,"Huawei Technologies Canada Co., Ltd."
366,Huawei Technologies Ltd.
367,Huazhong University of Science and Technology
368,Hubei Optics Valley Laboratory
369,Hungarian Research Centre for Linguistics
370,"Hungarian Research Centre for Linguistics, Pazmany Peter Catholic University and MorphoLogic"
371,I2R
372,IBM India Pvt Ltd
373,IBM Research AI
374,IBMEC
375,IFLYTEK CO.LTD.
376,IIE
377,IIIT Hyderabad
378,IIT Kanpur
379,IIT Kharagpur
380,INF
381,INRIA
382,INTSIG Information
383,IRIT
384,"ISIR, Sorbonne Université & CNRS"
385,IT University of Copenhagen
386,ITMO University
387,Idiap Research Institute
388,Idiap Research Institute and University of Manchester
389,Imperial College London
390,Independent
391,Independent Researcher
392,"Indian Institute of Management, Ahmedabad, Indian Institute of Technology, Madras, Dhirubhai Ambani Institute Of Information and Communication Technology and Indian Institute of Science, Bangalore"
393,Indian Institute of Technology Bombay
394,"Indian Institute of Technology Bombay, Indian Institute of Technology, Bombay"
395,Indian Institute of Technology Kharagpur
396,"Indian Institute of Technology Kharagpur,"
397,"Indian Institute of Technology Patna, India"
398,"Indian Institute of Technology, Bombay, Dhirubhai Ambani Institute Of Information and Communication Technology"
399,"Indian Institute of Technology, Delhi"
400,"Indian Institute of Technology, Hyderabad,"
401,"Indian Institute of Technology, Jodhpur"
402,"Indian Institute of Technology, Kanpur, Dhirubhai Ambani Institute Of Information and Communication Technology"
403,"Indian Institute of Technology, Kharagpur"
404,"Indian Institute of Technology, Patna"
405,Indiana University
406,"Indraprastha Institute of Information Technology, Delhi"
407,Inf Tech
408,Infly Technology
409,"Information Sciences Institute, University of Southern California"
410,"Information Sciences Institute, University of Southern California, University of Southern California, University of Southern California and Amazon Alexa"
411,Inftech
412,Inner Mongolia University
413,Inria
414,"Inspur Genersoft Co., Ltd."
415,"Inspur Group Co, Ltd"
416,Institut de recherche en informatique de toulouse
417,Institut du développement et des ressources en informatique scientifique (IDRIS)
418,"Institute for AI in Medicine (IKIM), University Medicine Essen"
419,Institute for Advanced Algorithms Research
420,"Institute for Advanced Algorithms Research, Shanghai"
421,"Institute for Advanced Algorithms Research,Shanghai"
422,"Institute for Computational Linguistics “A. Zampolli” (CNR-ILC), Pisa"
423,"Institute for Computer Science, Artificial Intelligence and Technology"
424,"Institute for Computer Science, Artificial Intelligence and Technology, Mohamed bin Zayed University of Artificial Intelligence and Technische Universität Darmstadt"
425,"Institute for Infocomm Research, A*STAR"
426,"Institute of Artificial Intelligence, Hefei Comprehensive National Science Center"
427,"Institute of Automation of,Chinese Academy of Sciences"
428,"Institute of Automation, Chinese Academy of Sciences"
429,"Institute of Cognitive Science, Osnabrück University, Universität Osnabrück"
430,"Institute of Computing Technolgy, Chinese Academy of Sciences"
431,"Institute of Computing Technology, Chinese Academy"
432,"Institute of Computing Technology, Chinese Academy of Sciences"
433,"Institute of Computing Technology, Chinese Academy of Sciences, China"
434,"Institute of High Performance Computing, Singapore, A*STAR"
435,Institute of Information Engeering
436,Institute of Information Engineering
437,"Institute of Information Engineering, Chinese Academy of Sciences"
438,"Institute of Information Engineering, Chinese Academy of Sciences and University of Chinese Academy of Sciences"
439,Institute of Information Engineering.CAS
440,"Institute of Intelligent Machines,Chinese Academy Of Sciences"
441,Institute of Science Tokyo
442,"Institute of Science Tokyo and Tokyo Institute of Technology, Tokyo Institute of Technology"
443,Institute of Software CAS>
444,Institute of Software Chinese Academy of Sciences
445,"Institute of Software, CAS"
446,"Institute of Software, Chinese Academy of Sciences"
447,"Institute of Software, Chinese Academy of Sciences and University of Chinese Academy of Sciences"
448,Institute of Systems Engineering
449,"Institute of automation, Chinese Academy of Sciences"
450,"Institute of automation, Chinese academy of science"
451,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences"
452,Instituto Superior Técnico
453,Intel
454,Intel AI Research
455,IntelliproGroup Inc.
456,"Interchange Forum for Reflecting on Intelligent Systems, University of Stuttgart"
457,International Business Machines
458,International Digital Economy Academy
459,International Digital Economy Academy (IDEA)
460,"International Digital Economy Academy, International Digital Economy Academy"
461,International Institute of Information Technology Hyderabad
462,"International Institute of Information Technology Hyderabad, India"
463,Intuit
464,Intuit AI Research
465,Inworld AI
466,Iowa State University
467,"Iran University of Science and Technology Tehran, University of Tehran"
468,Istituto di Linguistica Computazionale “A. Zampolli” (ILC)
469,J.P. Morgan Chase
470,JD.com
471,JPMorgan Chase and Co
472,"Jarvis Research Center, Tencent YouTu Lab"
473,Jiangxi University of Finance and Economics
474,Jilin University
475,"Jilin University, China"
476,Johann Wolfgang Goethe Universität Frankfurt am Main
477,Johannes Kepler Universität Linz
478,"Johannes-Gutenberg Universität Mainz, Johannes-Gutenberg Universität Mainz, University of Colorado, Boulder and New York University"
479,Johns Hopkins University
480,Johns Hopkins University and Shanghai Jiao Tong University
481,"Johns Hopkins University and Tsinghua University, Tsinghua University"
482,"Johns Hopkins University, California Institute of Technology and University of Illinois, Chicago"
483,Julius-Maximilians-Universität Würzburg
484,KAIST
485,"KAIST, Korea Advanced Institute of Science & Technology"
486,KAUST
487,KENTECH
488,KRAFTON and Korea Advanced Institute of Science and Technology
489,KU Leuven
490,"KU Leuven, KU Leuven"
491,Kansas State University
492,Karlsruher Institut für Technologie
493,Kazan Federal University
494,Kellogg Community College
495,Kempelen Institute of Intelligent Technologies
496,Kensho
497,Khajeh Nasir Toosi University of Technology
498,"Khalifa University of Science, Technology and Research"
499,Kim & Chang
500,King Abdullah University of Science and Technology
501,King Abdullah University of Science and Technology and Hong Kong University of Science and Technology
502,King Fahad University of Petroleum and Minerals
503,King Saud University
504,King’s College London
505,"King’s College London, University of London"
506,Konkuk University
507,Korea Advanced Institute of Science & Technology
508,"Korea Advanced Institute of Science & Technology, Korea Advanced Institute of Science & Technology and Korea Advanced Institute of Science and Technology"
509,Korea Advanced Institute of Science and Technology
510,Korea Advanced Institute of Science and Technology and AITRICS
511,Korea Telecom Research
512,Korea University
513,Kuaishou Technology
514,Kuaishou- 快手科技
515,Kumo.AI
516,Kunming University of Science and Technology
517,Kyoto University
518,"Kyoto University, Kyoto University"
519,Kyung Hee University
520,Kyungpook National University
521,L3S Research Center
522,L3S Research Center Hannover
523,LG Corporation
524,LGCNS
525,LIGHTSPEED
526,LINE Corporation
527,LIS - Laboratoire d’Informatique et Systèmes and AMU - Aix Marseille University
528,LY Corporation and Yokohama National University
529,La Trobe University
530,"Langsmith Inc., Tohoku University and Machine Learning Solutions"
531,Lawrence Livermore National Laboratory
532,Leibniz Universität Hannover
533,Leiden University
534,Lelapa AI
535,LinkedIn
536,Linköping University
537,Lion Rock AI Lab
538,Ludwig-Maximilians-Universität München
539,Ludwig-Maximilians-Universität München and Hochschule München
540,MBZUAI
541,"MBZUAI, RIKEN and Tohoku University"
542,Maastricht University
543,Macau University of Science and Technology
544,Macquarie University
545,Mahidol University
546,Mahidol University and Mahidol University
547,"Massachusetts General Hospital, Harvard University"
548,Massachusetts Institute of Technology
549,Massachusetts Institute of Technology and International Business Machines
550,Massachusetts Institute of Technology and Verily Life Science
551,Maum.ai
552,Max Planck Institute for Software Systems
553,Max-Planck Institute
554,Max-Planck Institute for Informatics and Max Planck Institute
555,Mayo Clinic
556,Mayo Clinic and UIUC
557,McGill University
558,McGill University and Mila - Quebec Artificial Intelligence Institute
559,"McGill University and Montreal Institute for Learning Algorithms, University of Montreal, University of Montreal"
560,"McGill University, Mila Research Institute and Microsoft"
561,MediaTek Research
562,Meedan
563,"Meedan, University of Oxford and Alan Turing Institute"
564,Meetyou AI Lab and Qufu Normal University
565,Megagon Labs
566,"Megagon Labs, Megagon Labs and Carnegie Mellon University"
567,Meiji University
568,Meituan
569,Meta
570,Meta AI
571,Meta Fundamental Artificial Intelligence Research (FAIR)
572,Meta Platform
573,Miami University
574,Michigan State University
575,Microsoft
576,Microsoft AI Asia
577,Microsoft Research
578,Microsoft Research Asia
579,Microsoft Research and Microsoft
580,Microsoft and Carnegie Mellon University
581,Microsoft and EPFL - EPF Lausanne
582,"Microsoft and Indian Institute of Technology, Madras"
583,Microsoft and Johns Hopkins University
584,Microsoft and University of Texas at Austin
585,"Microsoft, USA"
586,Middlebury College
587,Mila - Quebec AI Institute
588,Mila - Quebec Artificial Intelligence Institute
589,ModelBest Inc.
590,Mohamed bin Zayed University of Artificial Intelligence
591,Mohamed bin Zayed University of Artificial Intelligence and Australian National University
592,Mohamed bin Zayed University of Artificial Intelligence and Linköping University
593,"Mohamed bin Zayed University of Artificial Intelligence and Northwestern Polytechnical University, Northwest Polytechnical University Xi’an"
594,Mohamed bin Zayed University of Artificial Intelligence and The University of Manchester
595,Mohamed bin Zayed University of Artificial Intelligence and The University of Melbourne
596,"Mohamed bin Zayed University of Artificial Intelligence and Tokyo Institute of Technology, Tokyo Institute of Technology"
597,Monash University
598,Monash University and Boston University
599,Monash University and University of Liverpool
600,Monta AI
601,"Montreal Institute for Learning Algorithms, Université de Montréal and The University of Tokyo"
602,Moonshot AI
603,"Moscow Technical University of Informatics and Communication, AIRI and University of Sharjah"
604,NASK - National Research Institute
605,NAVER
606,NAVER CLOUD
607,NAVER Cloud
608,NAVER Search US
609,NEC
610,NEC Labs America
611,"NII, Tokyo Institute of Technology"
612,"NINJAL, Tohoku University and RIKEN"
613,NTT
614,NTT Corporation
615,NUS
616,NVIDIA
617,NVIDIA and University of Washington
618,NYU Shanghai
619,Nagoya University
620,Nanjing Normal University
621,Nanjing University
622,Nanjing University of Aeronautics and Astronautics
623,Nanjing University of Finance and Economics
624,Nanjing University of Science and Technology
625,Nanjing university
626,Nankai University
627,Nanyang Technological University
628,Nanyang Technological University and A*STAR
629,Nanyang Technological University and SalesForce.com
630,Nara Institute of Science and Technology
631,"Nara Institute of Science and Technology, Japan"
632,NatWest Bank
633,National Institute of Informatics
634,National Institute of Informatics (NII) and Kyoto University
635,National Institutes of Health
636,National Key Laboratory of General Artificial Intelligence
637,National Key Laboratory of General Artificial Intelligence and Beijing Institute for General Artificial Intelligence
638,National Library of Medicine
639,National Library of Norway
640,National Research Council Canada
641,National Taiwan University
642,National Technical University of Athens
643,National University of Defense Technology
644,National University of Science and Technology POLITEHNICA Bucharest
645,National University of Singapore
646,National University of Singapore and Tencent AI Lab
647,"National University of Singapore and The Chinese University of Hong Kong, Shenzhen"
648,"National University of Singapore, National University of Singapore"
649,Naver Labs Europe
650,NeoMatrix Ltd
651,New York University
652,New York University Shanghai
653,"New York University, Abu Dhabi"
654,"Noah’s Ark Lab, Huawei"
655,"Noah’s Ark Lab, Huawei Technologies Ltd."
656,Nomic AI
657,Nomic AI and Helivan Research
658,North Carolina State University
659,Northeast Forest University
660,Northeast University
661,Northeastern University
662,Northeastern University and University of Pittsburgh
663,"Northeastern University, Brown University and Northeastern University"
664,"Northeastern University, China"
665,"Northeastern University, Northeastern University and University of Michigan"
666,Northwest Normal University Lanzhou
667,Northwest Polytechnical University Xi’an
668,Northwest University Xi’an
669,Northwestern University
670,Northwestern University and Georgia Institute of Technology
671,OPPO Research Institute
672,Ohio State University
673,"Ohio State University, Columbus"
674,Om AI
675,Open University
676,Oppo
677,Oracle
678,"Osaka University, Graduate School of Information Science and Technology"
679,"Oxford Internet Institute, University of Oxford"
680,PJLab
681,POSTECH
682,Parameter Lab
683,Patronus AI
684,Peking University
685,Peking University and Microsoft
686,"Peng Cheng Laboratory, Shenzhen, China"
687,Pengcheng Laboratory
688,Pengcheng Laboratory and Pengcheng Laboratory
689,Pennsylvania State University
690,People’s Daily Online
691,Phillips-Universität Marburg and University of Twente
692,Pingan Technology
693,Pocket FM
694,Pohang University of Science and Technology
695,Politecnico di Torino
696,Politecnico di Torino and Politecnico di Torino
697,Polytechnic Institute of Milan
698,Polytechnic Institute of Turin
699,Pontificia Universidad Catolica de Chile
700,Portland State University
701,Posos
702,PowerChina Huadong Engineering Corporation Limited
703,Princeton University
704,Purdue University
705,Purdue University and Purdue University
706,Purdue University and Tsinghua University
707,QCRI
708,Qatar Computing Research Institute
709,Qatar University
710,Qihoo 360
711,Qiyuan Lab
712,QualComm
713,Qualcomm AI Research
714,"Qualcomm Inc, QualComm"
715,Queen Mary University London
716,Queen Mary University of London
717,"Queen Mary, University of London"
718,Queens University
719,Queen’s University
720,Queen’s University and University of New Brunswick
721,RIKEN and University of Auckland
722,Radboud University
723,Ravis Technology
724,Rebellions
725,Rebellions Inc.
726,"Rebellions, Inc."
727,RedHat AI & MIT-IBM Watson AI Lab
728,RedNote
729,Reichman University
730,Reliance Jio AICoE
731,Renmin University of China
732,Rensselaer Polytechnic Institute
733,"Research, Facebook"
734,"Research, Google"
735,"Research, Microsoft"
736,"Research, Microsoft and University of Science and Technology of China"
737,Rheinische Friedrich-Wilhelms Universität Bonn
738,Rhymes AI
739,Rice University
740,Rice University and ThirdAI Corp.
741,Rice University and University of Texas Health Science Center at Houston
742,"Ricoh Software Research Center Beijing Co., Ltd."
743,Risksis Technology Limited
744,Royal Holloway University of London
745,Rutgers University
746,"Rutgers University, New Brunswick"
747,SB Intuitions
748,SBIntuitions
749,SCB 10X
750,STC
751,STC-Innovation
752,SUN YAT-SEN UNIVERSITY
753,Saarland University
754,Sakana AI
755,SalesForce
756,SalesForce AI Research
757,SalesForce.com
758,SalesForce.com and Rutgers University
759,Salesforce AI
760,Salesforce AI Research
761,Salesforce AI Research and Stony Brook University
762,Salesforce Research
763,Salesforce Research and Stanford University
764,Salesforce and Stanford University
765,Salesforce.com
766,Salzburg University of Applied Sciences
767,Samsung
768,Samsung Electronics America
769,"Samsung Research and Development Institute - India, Bengaluru"
770,Samsung SDS
771,Santander Holdings USA
772,Sapienza University of Rome
773,Sapienza University of Rome and Sapienza University of Rome
774,Scale AI
775,"School of Computer Science and Engineering, Nanyang Technological University"
776,"School of Computer Science and Technology, Tiangong University"
777,"School of Computer Science, Carnegie Mellon University"
778,"School of Computer and Communication Sciences, EPFL - EPF Lausanne"
779,"School of Engineering and Applied Sciences, Harvard University"
780,Sea AI Lab
781,Sensetime
782,Sensetime Research
783,Seoul National University
784,Seoul National University and Ecole Nationale Supérieure des Mines d’Alès
785,ServiceNow
786,ServiceNow Inc
787,"ServiceNow Inc, Mila, McGill University and Mila, McGill University"
788,Shanda Group and Alibaba Group
789,Shandong University
790,Shanghai AI Lab
791,Shanghai AI Laboratory
792,"Shanghai Advanced Research Institute, Chinese Academy of Sciences"
793,Shanghai Artificial Intelligence Laboratory
794,Shanghai Artificial Intelligence Laboratory and University of Hong Kong
795,Shanghai Institute for Advanced Study of Zhejiang University
796,Shanghai Jiao Tong University
797,Shanghai Jiaotong University
798,Shanghai Jiaotong University and Beijing Institute for General Artificial Intelligence
799,Shanghai Jiaotong University and Télécom Paris
800,Shanghai Normal University
801,Shanghai University of Finance and Economics
802,ShanghaiTech University
803,Sharif University of Technology
804,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences"
805,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Chinese Academy of Sciences"
806,Shenzhen MSU-BIT University
807,Shenzhen Research Institute of Big Data
808,Shenzhen Technology University
809,Shenzhen University
810,Shopee
811,Sichuan University
812,"Silicon Universe Technology Co., Ltd."
813,"Simular and University of California, Santa Cruz"
814,Singapore Management University
815,Singapore Management University and Nanjing University
816,Singapore University of Technology and Design
817,Singapore-ETH Centre
818,Skolkovo Institute of Science and Technology
819,"Skolkovo Institute of Science and Technology and CNRS, Institut Mathematiques de Jussieu, Paris Diderot University"
820,Skoltech
821,Skywork AI
822,Snowflake
823,Sogang University
824,Sony
825,"Sony R&D and University of Sydney, University of Sydney"
826,Sony Research India
827,"Sony Research India, Bangalore"
828,Soochow University
829,"Soochow University, China"
830,Soongsil University
831,South China Agricultural University
832,South China University of Technology
